ensembl_gene_id	n_pubmed_ids
ENSG00000011275	42
ENSG00000011295	25
ENSG00000011304	194
ENSG00000011332	10
ENSG00000011347	26
ENSG00000011376	37
ENSG00000011405	99
ENSG00000011422	527
ENSG00000011426	59
ENSG00000011451	34
ENSG00000011454	33
ENSG00000011465	217
ENSG00000011478	30
ENSG00000011485	97
ENSG00000011523	27
ENSG00000011566	31
ENSG00000011590	25
ENSG00000011600	75
ENSG00000011638	19
ENSG00000011677	53
ENSG00000012048	2667
ENSG00000012061	628
ENSG00000012124	77
ENSG00000012171	43
ENSG00000012174	27
ENSG00000012211	15
ENSG00000012223	309
ENSG00000012232	32
ENSG00000012504	239
ENSG00000012660	39
ENSG00000012779	276
ENSG00000012817	29
ENSG00000012822	38
ENSG00000012963	19
ENSG00000012983	32
ENSG00000013016	34
ENSG00000013275	128
ENSG00000013288	37
ENSG00000013293	10
ENSG00000013297	40
ENSG00000013306	14
ENSG00000013364	124
ENSG00000013374	50
ENSG00000013375	36
ENSG00000013392	8
ENSG00000013441	50
ENSG00000013503	45
ENSG00000013523	8
ENSG00000013561	37
ENSG00000013563	30
ENSG00000013573	39
ENSG00000013583	19
ENSG00000013588	44
ENSG00000013619	24
ENSG00000013725	58
ENSG00000013810	84
ENSG00000014123	29
ENSG00000014138	37
ENSG00000014164	19
ENSG00000014216	199
ENSG00000014257	93
ENSG00000014641	52
ENSG00000014824	18
ENSG00000014914	13
ENSG00000014919	27
ENSG00000015133	29
ENSG00000015153	29
ENSG00000015171	46
ENSG00000015285	234
ENSG00000015413	36
ENSG00000015475	239
ENSG00000015479	139
ENSG00000015520	85
ENSG00000015532	30
ENSG00000015568	19
ENSG00000015592	11
ENSG00000015676	31
ENSG00000016082	82
ENSG00000016391	24
ENSG00000016402	28
ENSG00000016490	49
ENSG00000016602	14
ENSG00000016864	23
ENSG00000017260	97
ENSG00000017427	1664
ENSG00000017483	13
ENSG00000017797	92
ENSG00000018189	16
ENSG00000018236	63
ENSG00000018280	180
ENSG00000018408	217
ENSG00000018510	47
ENSG00000018610	17
ENSG00000018625	127
ENSG00000018699	22
ENSG00000018869	15
ENSG00000019102	11
ENSG00000019144	35
ENSG00000019169	44
ENSG00000019186	174
ENSG00000019485	7
ENSG00000019505	17
ENSG00000019549	282
ENSG00000019582	161
ENSG00000019991	714
ENSG00000019995	22
ENSG00000020129	35
ENSG00000020181	20
ENSG00000020256	24
ENSG00000020426	97
ENSG00000020577	19
ENSG00000020633	329
ENSG00000020922	294
ENSG00000021300	19
ENSG00000021355	61
ENSG00000021461	25
ENSG00000021488	58
ENSG00000021574	178
ENSG00000021645	60
ENSG00000021762	33
ENSG00000021776	35
ENSG00000021826	96
ENSG00000021852	51
ENSG00000022267	103
ENSG00000022277	19
ENSG00000022355	129
ENSG00000022556	45
ENSG00000022567	5
ENSG00000022840	30
ENSG00000022976	9
ENSG00000023041	22
ENSG00000023171	17
ENSG00000023191	68
ENSG00000023228	67
ENSG00000023287	85
ENSG00000023318	48
ENSG00000023330	51
ENSG00000023445	250
ENSG00000023516	34
ENSG00000023572	55
ENSG00000023608	17
ENSG00000023697	18
ENSG00000023734	76
ENSG00000023839	290
ENSG00000023892	27
ENSG00000023902	40
ENSG00000023909	85
ENSG00000024048	52
ENSG00000024422	34
ENSG00000024526	21
ENSG00000024862	10
ENSG00000025039	23
ENSG00000025156	56
ENSG00000025293	36
ENSG00000025423	22
ENSG00000025434	281
ENSG00000025708	166
ENSG00000025770	30
ENSG00000025772	34
ENSG00000025796	39
ENSG00000025800	108
ENSG00000026025	519
ENSG00000026036	12
ENSG00000026103	1137
ENSG00000026297	52
ENSG00000026508	1078
ENSG00000026559	17
ENSG00000026652	15
ENSG00000026751	40
ENSG00000026950	28
ENSG00000027001	23
ENSG00000027075	130
ENSG00000027644	24
ENSG00000027697	180
ENSG00000027847	26
ENSG00000027869	45
ENSG00000028116	52
ENSG00000028137	447
ENSG00000028203	22
ENSG00000028277	58
ENSG00000028310	20
ENSG00000028528	68
ENSG00000028839	33
ENSG00000029153	38
ENSG00000029363	90
ENSG00000029364	18
ENSG00000029534	92
ENSG00000029559	51
ENSG00000029639	30
ENSG00000029725	70
ENSG00000029993	40
ENSG00000030066	56
ENSG00000030110	309
ENSG00000030304	60
ENSG00000030419	46
ENSG00000030582	409
ENSG00000031003	11
ENSG00000031081	24
ENSG00000031691	16
ENSG00000031698	48
ENSG00000031823	35
ENSG00000032219	33
ENSG00000032389	18
ENSG00000032444	56
ENSG00000032742	42
ENSG00000033011	30
ENSG00000033030	34
ENSG00000033050	46
ENSG00000033100	14
ENSG00000033122	32
ENSG00000033170	72
ENSG00000033178	42
ENSG00000033327	139
ENSG00000033627	45
ENSG00000033800	171
ENSG00000033867	49
ENSG00000034053	50
ENSG00000034152	97
ENSG00000034239	9
ENSG00000034510	46
ENSG00000034533	8
ENSG00000034677	23
ENSG00000034693	46
ENSG00000034713	82
ENSG00000034971	246
ENSG00000035115	20
ENSG00000035141	21
ENSG00000035403	188
ENSG00000035499	14
ENSG00000035664	35
ENSG00000035681	21
ENSG00000035687	26
ENSG00000035720	26
ENSG00000035862	414
ENSG00000035928	97
ENSG00000036054	16
ENSG00000036257	247
ENSG00000036448	18
ENSG00000036473	107
ENSG00000036530	68
ENSG00000036549	23
ENSG00000036565	36
ENSG00000036672	95
ENSG00000036828	430
ENSG00000037042	26
ENSG00000037241	26
ENSG00000037280	230
ENSG00000037474	60
ENSG00000037637	16
ENSG00000037749	11
ENSG00000037757	23
ENSG00000037897	25
ENSG00000037965	40
ENSG00000038002	55
ENSG00000038210	24
ENSG00000038219	15
ENSG00000038274	55
ENSG00000038295	25
ENSG00000038358	54
ENSG00000038382	61
ENSG00000038427	170
ENSG00000038532	85
ENSG00000038945	115
ENSG00000039068	1748
ENSG00000039123	67
ENSG00000039139	40
ENSG00000039319	30
ENSG00000039523	17
ENSG00000039537	52
ENSG00000039560	37
ENSG00000039600	23
ENSG00000039650	70
ENSG00000039987	15
ENSG00000040199	52
ENSG00000040275	23
ENSG00000040341	31
ENSG00000040487	10
ENSG00000040531	68
ENSG00000040608	74
ENSG00000040633	13
ENSG00000040731	24
ENSG00000040933	28
ENSG00000041353	48
ENSG00000041357	118
ENSG00000041515	21
ENSG00000041802	21
ENSG00000041880	28
ENSG00000041982	231
ENSG00000041988	15
ENSG00000042062	6
ENSG00000042088	74
ENSG00000042286	24
ENSG00000042304	8
ENSG00000042317	30
ENSG00000042429	62
ENSG00000042445	15
ENSG00000042493	53
ENSG00000042753	54
ENSG00000042781	106
ENSG00000042813	14
ENSG00000042832	172
ENSG00000042980	40
ENSG00000043039	15
ENSG00000043093	43
ENSG00000043143	20
ENSG00000043355	54
ENSG00000043462	152
ENSG00000043514	24
ENSG00000043591	347
ENSG00000044012	25
ENSG00000044090	71
ENSG00000044115	177
ENSG00000044446	50
ENSG00000044459	22
ENSG00000044524	73
ENSG00000044574	644
ENSG00000046604	120
ENSG00000046647	17
ENSG00000046651	72
ENSG00000046653	31
ENSG00000046774	46
ENSG00000046889	29
ENSG00000047056	23
ENSG00000047188	38
ENSG00000047230	24
