orf_id_a	orf_id_b	result	experiment	source
961	9637		testing_y2h_v1	test_space_y2h_v1
961	10016		testing_y2h_v1	test_space_y2h_v1
961	13067	0.0	testing_y2h_v1	test_space_y2h_v1
961	13067	0.0	testing_y2h_v2	test_space_y2h_v2
961	14983	0.0	testing_y2h_v1	test_space_y2h_v1
961	100002625	0.0	testing_y2h_v1	test_space_y2h_v1
1047	3598	0.0	testing_y2h_v1	test_space_y2h_v1
1047	4350		testing_y2h_v3	test_space_y2h_v3
1047	100002546		testing_y2h_v3	Lit_BM_13
1047	100002546	0.0	testing_y2h_v1	Lit_BM_13
1047	100002546	0.0	testing_y2h_v2	Lit_BM_13
1102	6953	0.0	testing_y2h_v3	test_space_y2h_v3
1102	8202	0.0	testing_y2h_v3	test_space_y2h_v3
1106	3788	0.0	testing_y2h_v3	Lit_BM_13
1106	3788	0.0	testing_y2h_v1	Lit_BM_13
1106	3788	0.0	testing_y2h_v2	Lit_BM_13
1124	1423	1.0	testing_y2h_v2	test_space_y2h_v2
1124	2853	0.0	testing_y2h_v3	test_space_y2h_v3
1124	11452		testing_y2h_v1	test_space_y2h_v1
1124	11452		testing_y2h_v2	test_space_y2h_v2
1124	11452		testing_y2h_v3	test_space_y2h_v3
1124	55351	1.0	testing_y2h_v2	test_space_y2h_v2
1152	6745	0.0	testing_y2h_v3	RRS
1152	6745	0.0	testing_y2h_v1	RRS
1152	6745	0.0	testing_y2h_v2	RRS
1340	1700	0.0	testing_y2h_v3	RRS
1340	1700	0.0	testing_y2h_v1	RRS
1340	14862	0.0	testing_y2h_v1	test_space_y2h_v1
1353	53230	0.0	testing_y2h_v3	RRS
1353	53230	0.0	testing_y2h_v1	RRS
1353	53230	0.0	testing_y2h_v2	RRS
1353	100009596	0.0	testing_y2h_v3	RRS
1353	100009596	0.0	testing_y2h_v1	RRS
1353	100009596	0.0	testing_y2h_v2	RRS
1377	6007	0.0	testing_y2h_v3	RRS
1377	6007	0.0	testing_y2h_v1	RRS
1377	6007	0.0	testing_y2h_v2	RRS
1420	7935		testing_y2h_v3	RRS
1420	7935	0.0	testing_y2h_v1	RRS
1420	9637		testing_y2h_v1	test_space_y2h_v1
1429	4350	0.0	testing_y2h_v3	Lit_BM_13
1429	4350	0.0	testing_y2h_v1	Lit_BM_13
1429	4350	0.0	testing_y2h_v2	Lit_BM_13
1460	14781	0.0	testing_y2h_v3	RRS
1460	14781	0.0	testing_y2h_v1	RRS
1460	14781	0.0	testing_y2h_v2	RRS
1549	3585	1.0	testing_y2h_v1	test_space_y2h_v1
1549	13662	1.0	testing_y2h_v1	test_space_y2h_v1
1549	14269	0.0	testing_y2h_v3	test_space_y2h_v3
1564	4516	0.0	testing_y2h_v1	test_space_y2h_v1
1564	9637	0.0	testing_y2h_v1	test_space_y2h_v1
1580	3068	0.0	testing_y2h_v3	test_space_y2h_v3
1715	7272	0.0	testing_y2h_v3	RRS
1715	7272	0.0	testing_y2h_v1	RRS
1715	7272	0.0	testing_y2h_v2	RRS
1734	3068	0.0	testing_y2h_v3	test_space_y2h_v3
1734	8202	0.0	testing_y2h_v3	test_space_y2h_v3
1734	13067	0.0	testing_y2h_v1	test_space_y2h_v1
1734	52803	0.0	testing_y2h_v3	test_space_y2h_v3
1749	53304	0.0	testing_y2h_v3	RRS
1749	53304	0.0	testing_y2h_v1	RRS
1749	53304	0.0	testing_y2h_v2	RRS
