standard_batch	source	assay	test_orf_ida	test_orf_idb	final_score
Hvs01	Hs01	GPCA	100064207	3267	16.94898422107747
Hvs01	Hs01	GPCA	72137	7936	12.245438686290804
Hvs01	RRS	GPCA	10864	72095	11.80620957752227
Hvs01	RRS	GPCA	2845	53760	15.215616960460306
Hvs01	Lit-BM	GPCA	5109	54902	13.949535300063102
Hvs01	Hs01	GPCA	6836	10177	16.01808603251819
Hvs01	Hs01	GPCA	7917	3339	14.927235900698507
Hvs01	RRS	GPCA	2861	55724	13.531713999356906
Hvs01	Lit-BM	GPCA	2339	2339	17.54559025048458
Hvs01	Hs01	GPCA	8034	52859	12.276962972064855
Hvs01	RRS	GPCA	1008	53017	15.312100118479055
Hvs01	RRS	GPCA	53630	431	13.261135589955051
Hvs01	Hs01	GPCA	7188	4586	13.314998661682665
Hvs01	Hs01	GPCA	1024	12387	12.41244281724152
Hvs01	Lit-BM	GPCA	6885	3428	13.78594955507202
Hvs01	RRS	GPCA	3997	71224	13.53803020416655
Hvs01	RRS	GPCA	100068241	100061732	11.86372520228828
Hvs01	Hs01	GPCA	54751	11229	11.5831744185482
Hvs01	RRS	GPCA	2388	5272	13.584588589983277
Hvs01	Hs01	GPCA	54855	52720	14.681853852661874
Hvs01	Lit-BM	GPCA	14894	538	17.219697361493278
Hvs01	Lit-BM	GPCA	4660	6768	17.70659082150481
Hvs01	Hs01	GPCA	72096	8306	13.192250862761254
Hvs01	RRS	GPCA	5342	7407	12.45316628799245
Hvs01	Hs01	GPCA	56541	11464	13.282165295331419
Hvs01	Lit-BM	GPCA	8127	113	16.76204579204381
Hvs01	Lit-BM	GPCA	56353	56353	12.653974871724664
Hvs01	Hs01	GPCA	11567	14983	11.760243820459126
Hvs01	Hs01	GPCA	100016009	120	13.428660820454017
Hvs01	RRS	GPCA	6625	5382	14.566725229070185
Hvs01	RRS	GPCA	10119	54833	10.554863049990018
Hvs01	Hs01	GPCA	100015180	1190	16.838930791986193
Hvs01	Hs01	GPCA	56541	56809	13.723943666452385
Hvs01	Lit-BM	GPCA	3625	13547	11.986280939959302
Hvs01	RRS	GPCA	71337	5477	14.069559662923332
Hvs01	Lit-BM	GPCA	56919	10280	14.056475178370373
Hvs01	Lit-BM	GPCA	6297	10794	12.530979657781536
Hvs01	Lit-BM	GPCA	3777	1341	12.416797406975437
Hvs01	Lit-BM	GPCA	3117	53021	20.78751221198698
Hvs01	Lit-BM	GPCA	7587	52987	15.116340342113759
Hvs01	Lit-BM	GPCA	732	7108	14.195359925818908
Hvs01	RRS	GPCA	71669	3714	14.071986820261385
Hvs01	RRS	GPCA	10779	9155	11.88481603220966
Hvs01	RRS	GPCA	71806	70481	12.540074515987076
Hvs01	RRS	GPCA	7637	7732	11.481521495831121
Hvs01	RRS	GPCA	100062443	12068	14.794639090051032
Hvs01	Hs01	GPCA	10320	9305	16.63130888485837
Hvs01	RRS	GPCA	54237	55699	13.66831841595853
Hvs01	RRS	GPCA	13647	275	13.060058264719498
Hvs01	Hs01	GPCA	56141	1427	11.272609513765012
Hvs01	Hs01	GPCA	10705	12334	13.99608814159319
Hvs01	Hs01	GPCA	54990	279	16.859952010750774
Hvs01	Hs01	GPCA	820	14218	13.600870901208102
Hvs01	RRS	GPCA	11256	9491	11.698811989576228
Hvs01	RRS	GPCA	9527	10882	11.06168561406572
Hvs01	Lit-BM	GPCA	7959	9477	16.06123052858657
Hvs01	RRS	GPCA	40080743	2842	12.403603676698129
Hvs01	RRS	GPCA	5894	6403	10.839160371273671
Hvs01	RRS	GPCA	3651	2860	16.231254252456644
Hvs01	Lit-BM	GPCA	9587	3902	12.606146938804294
Hvs01	Hs01	GPCA	100066360	72017	18.28198650863436
Hvs01	Hs01	GPCA	1596	10280	11.933496242521475
Hvs01	RRS	GPCA	4961	2350	13.693368969734742
Hvs01	RRS	GPCA	55641	100069191	16.00905462335667
Hvs01	Hs01	GPCA	3392	55664	13.958978960438879
Hvs01	RRS	GPCA	100068164	2959	15.810713602172191
Hvs01	Lit-BM	GPCA	7938	6970	13.835331754122596
Hvs01	RRS	GPCA	11819	3005	13.429989297761207
Hvs01	RRS	GPCA	4660	9577	16.564815669862575
