standard_batch	source	assay	test_orf_ida	test_orf_idb	final_score
Hvs03	RRS	GPCA	71814	100062664	9.25502856981873
Hvs03	Lit-BM	GPCA	5890	100016000	13.505067193231886
Hvs03	Hs03	GPCA	9232	936	15.349108415784546
Hvs03	Lit-BM	GPCA	3902	4761	18.04538639935869
Hvs03	Hs03	GPCA	3364	5175	9.287712379549449
Hvs03	RRS	GPCA	6312	975	9.54882190845875
Hvs03	Hs03	GPCA	71960	72096	8.88874324889826
Hvs03	RRS	GPCA	54895	9640	9.479780264029099
Hvs03	Hs03	GPCA	55237	100062463	9.573647187493323
Hvs03	Hs03	GPCA	3381	3709	15.809014435158632
Hvs03	RRS	GPCA	5920	100061564	9.451211111832329
Hvs03	RRS	GPCA	9008	5175	11.521109643651332
Hvs03	Lit-BM	GPCA	53867	12865	9.172427508645484
Hvs03	RRS	GPCA	1062	100066393	9.082149041353873
Hvs03	Hs03	GPCA	9304	467	9.364134655008051
Hvs03	Lit-BM	GPCA	9794	12070	8.968666793195208
Hvs03	RRS	GPCA	56003	56639	9.686500527183219
Hvs03	RRS	GPCA	4627	11158	9.612868497291041
Hvs03	RRS	GPCA	78	7208	9.25502856981873
Hvs03	Hs03	GPCA	7081	71191	8.867278739709663
Hvs03	RRS	GPCA	11251	1697	9.493855449240824
Hvs03	Hs03	GPCA	6318	5980	13.342908033791575
Hvs03	Hs03	GPCA	72096	3023	9.4655664048094
Hvs03	RRS	GPCA	70643	52883	10.03754695396218
Hvs03	Lit-BM	GPCA	4687	11805	9.066089190457772
Hvs03	Lit-BM	GPCA	6449	6003	14.16561364898499
Hvs03	Hs03	GPCA	11118	8365	9.507794640198696
Hvs03	Lit-BM	GPCA	11866	11505	9.189824558880018
Hvs03	RRS	GPCA	54144	1819	9.573647187493323
Hvs03	RRS	GPCA	52741	4773	9.4093909361377
Hvs03	RRS	GPCA	55560	53160	9.4655664048094
Hvs03	RRS	GPCA	1257	14868	9.379378367071263
Hvs03	Hs03	GPCA	14937	4161	9.674192268145685
Hvs03	Hs03	GPCA	9414	3110	9.4241662888181
Hvs03	Hs03	GPCA	7470	100066369	13.342908033791575
Hvs03	RRS	GPCA	718	100000034	9.154818109052105
Hvs03	Hs03	GPCA	53279	2706	9.521600439723727
Hvs03	RRS	GPCA	8906	5613	12.438012087651133
Hvs03	RRS	GPCA	70883	100069234	9.303780748177104
Hvs03	Hs03	GPCA	53013	2098	10.03754695396218
Hvs03	RRS	GPCA	14158	10711	10.197216693110054
Hvs03	RRS	GPCA	3180	9318	9.661778097771988
Hvs03	Hs03	GPCA	71220	71220	13.544602265085343
Hvs03	Hs03	GPCA	70810	4418	15.236275851039464
Hvs03	Lit-BM	GPCA	12346	70922	9.4241662888181
Hvs03	RRS	GPCA	72111	54446	10.05528243550119
Hvs03	RRS	GPCA	4427	12322	9.333155350310617
Hvs03	RRS	GPCA	5014	14783	9.221587121264806
Hvs03	RRS	GPCA	100000237	71475	9.027905996569885
Hvs03	RRS	GPCA	70554	10841	9.066089190457772
Hvs03	Hs03	GPCA	14498	55237	8.800899899920305
Hvs03	Hs03	GPCA	343	4786	9.25502856981873
Hvs03	RRS	GPCA	3299	55311	9.303780748177104
Hvs03	Hs03	GPCA	10876	54489	9.54882190845875
Hvs03	RRS	GPCA	100016017	71833	9.271463027904375
Hvs03	Lit-BM	GPCA	388	9130	9.638435913990472
Hvs03	Hs03	GPCA	4516	4516	13.150381968817848
Hvs03	RRS	GPCA	54828	7976	9.118941072723507
Hvs03	RRS	GPCA	100066377	71888	9.348728154231079
Hvs03	Lit-BM	GPCA	5898	6439	9.238404739325079
Hvs03	RRS	GPCA	14831	100068253	9.118941072723507
Hvs03	Lit-BM	GPCA	966	6512	10.197216693110054
Hvs03	RRS	GPCA	70996	14899	10.181152256865566
Hvs03	Lit-BM	GPCA	1058	53922	9.4093909361377
Hvs03	Hs03	GPCA	54692	5253	9.364134655008051
Hvs03	Lit-BM	GPCA	9924	12346	9.271463027904375
Hvs03	Lit-BM	GPCA	11706	3510	10.386940245324311
Hvs03	RRS	GPCA	5420	5319	9.4241662888181
Hvs03	Hs03	GPCA	52853	13600	9.066089190457772
Hvs03	Hs03	GPCA	13662	5363	9.287712379549449
Hvs03	Hs03	GPCA	13612	71759	9.4241662888181
Hvs03	RRS	GPCA	53633	4119	9.479780264029099
Hvs03	RRS	GPCA	56673	56411	9.221587121264806
Hvs03	Lit-BM	GPCA	4126	5597	9.364134655008051
Hvs03	RRS	GPCA	10698	1836	9.878050912728536
Hvs03	Hs03	GPCA	11422	3097	8.968666793195208
Hvs03	RRS	GPCA	4163	53326	10.969386521342283
Hvs03	RRS	GPCA	70576	13705	9.573647187493323
Hvs03	RRS	GPCA	100070349	677	9.625708843064466
Hvs03	Hs03	GPCA	55553	8787	10.867278739709663
Hvs03	RRS	GPCA	10633	10298	9.438791852578262
Hvs03	RRS	GPCA	56671	71232	9.303780748177104
Hvs03	Hs03	GPCA	56612	13791	9.4093909361377
Hvs03	Lit-BM	GPCA	5109	4887	9.333155350310617
Hvs03	RRS	GPCA	100068177	70672	9.238404739325079
Hvs03	RRS	GPCA	4922	70767	9.333155350310617
Hvs03	RRS	GPCA	6481	53312	9.189824558880018
Hvs03	RRS	GPCA	70953	100015563	9.507794640198696
Hvs03	RRS	GPCA	70382	54339	9.25502856981873
Hvs03	Lit-BM	GPCA	100002387	71141	8.968666793195208
Hvs03	RRS	GPCA	13881	10746	9.379378367071263
Hvs03	Hs03	GPCA	70353	5743	9.451211111832329
Hvs03	RRS	GPCA	14461	70326	8.988684686772165
Hvs03	RRS	GPCA	52937	3822	9.451211111832329
Hvs03	Lit-BM	GPCA	6976	5073	10.63117705570398
Hvs03	RRS	GPCA	8438	5080	10.430452551665532
Hvs03	Lit-BM	GPCA	10935	10935	17.60092194579416
Hvs03	Hs03	GPCA	4546	9744	12.445014845868425
Hvs03	RRS	GPCA	100062328	14912	8.823367240046236
Hvs03	RRS	GPCA	100015815	2931	9.238404739325079
Hvs03	Hs03	GPCA	3598	439	10.172427508645484
Hvs03	RRS	GPCA	2352	4950	9.507794640198696
Hvs03	RRS	GPCA	71163	454	9.394462694610317
Hvs03	Hs03	GPCA	2362	13662	9.100662339005199
Hvs03	Hs03	GPCA	9159	1074	9.479780264029099
Hvs03	Hs03	GPCA	100064142	100064146	9.54882190845875
Hvs03	Lit-BM	GPCA	72137	503	9.319672120946995
Hvs03	Hs03	GPCA	54459	5956	9.008428622070582
Hvs03	Lit-BM	GPCA	56257	52690	9.271463027904375
Hvs03	Hs03	GPCA	4635	4706	18.45841462391437
Hvs03	Hs03	GPCA	3522	13917	9.479780264029099
Hvs03	RRS	GPCA	6459	595	10.914385132155443
Hvs03	Hs03	GPCA	5127	610	14.31359165257271
Hvs03	RRS	GPCA	4779	3564	9.438791852578262
Hvs03	RRS	GPCA	55879	10078	9.238404739325079
Hvs03	RRS	GPCA	54279	8467	9.027905996569885
Hvs03	Hs03	GPCA	56523	100068177	9.507794640198696
Hvs03	Hs03	GPCA	11983	3605	20.21826286417942
Hvs03	Lit-BM	GPCA	8617	55086	11.163649676015824
Hvs03	Lit-BM	GPCA	53257	53257	9.54882190845875
Hvs03	Hs03	GPCA	56614	56717	9.493855449240824
Hvs03	RRS	GPCA	71995	3102	10.573647187493323
Hvs03	RRS	GPCA	14890	8878	8.948367231584678
Hvs03	Hs03	GPCA	4218	9378	10.715961990255146
Hvs03	Hs03	GPCA	1905	100016009	10.521600439723727
Hvs03	Lit-BM	GPCA	54130	13813	8.845490050944376
Hvs03	RRS	GPCA	56553	6333	9.303780748177104
Hvs03	RRS	GPCA	8313	3141	9.479780264029099
Hvs03	Hs03	GPCA	9846	4279	9.047123912114026
Hvs03	RRS	GPCA	7478	5649	9.4655664048094
Hvs03	RRS	GPCA	5592	2138	9.899356922923111
Hvs03	RRS	GPCA	4967	14514	11.964701857420447
Hvs03	Lit-BM	GPCA	6555	14287	10.154818109052105
Hvs03	Lit-BM	GPCA	52920	14374	9.118941072723507
Hvs03	RRS	GPCA	9222	1462	8.867278739709663
Hvs03	Hs03	GPCA	54426	7881	9.908392620773752
Hvs03	RRS	GPCA	11762	359	9.535275376620804
Hvs03	Hs03	GPCA	3898	54699	10.181152256865566
Hvs03	RRS	GPCA	12730	70903	9.438791852578262
Hvs03	Hs03	GPCA	100061957	55351	13.554468941854115
Hvs03	RRS	GPCA	1641	70718	9.4093909361377
Hvs03	Lit-BM	GPCA	5181	5181	19.504632805406327
Hvs03	RRS	GPCA	9713	54283	9.172427508645484
Hvs03	RRS	GPCA	11172	14397	9.154818109052105
Hvs03	Hs03	GPCA	14983	71402	9.100662339005199
Hvs03	Hs03	GPCA	11788	1668	9.394462694610317
Hvs03	RRS	GPCA	4634	10315	9.238404739325079
Hvs03	RRS	GPCA	9354	8269	9.207014320177533
Hvs03	RRS	GPCA	1735	10925	9.978710459106358
Hvs03	RRS	GPCA	11385	71114	9.047123912114026
Hvs03	Lit-BM	GPCA	9124	7157	11.110483309816226
Hvs03	Lit-BM	GPCA	9747	3529	9.333155350310617
Hvs03	Lit-BM	GPCA	2663	113	9.521600439723727
Hvs03	Hs03	GPCA	1137	56119	19.631521684253464
Hvs03	RRS	GPCA	1776	70759	9.364134655008051
Hvs03	Hs03	GPCA	2454	7439	9.303780748177104
Hvs03	Lit-BM	GPCA	8795	6129	9.172427508645484
Hvs03	RRS	GPCA	55887	53035	11.785452468158544
Hvs03	Hs03	GPCA	13791	13662	9.333155350310617
Hvs03	RRS	GPCA	642	10585	9.698704666770345
Hvs03	RRS	GPCA	12329	4147	8.867278739709663
Hvs03	RRS	GPCA	13668	70345	9.172427508645484
Hvs03	RRS	GPCA	54737	5510	9.238404739325079
Hvs03	Hs03	GPCA	12877	4239	9.918863237274595
Hvs03	RRS	GPCA	10373	100064165	8.988684686772165
Hvs03	Lit-BM	GPCA	10876	2697	9.333155350310617
Hvs03	Hs03	GPCA	3769	1398	9.686500527183219
Hvs03	Lit-BM	GPCA	5651	8407	9.4241662888181
Hvs03	Hs03	GPCA	784	4354	9.686500527183219
Hvs03	RRS	GPCA	14319	7666	8.930737337562887
Hvs03	RRS	GPCA	2119	5477	9.54882190845875
Hvs03	Hs03	GPCA	54581	55264	9.333155350310617
Hvs03	RRS	GPCA	7476	5813	10.667998535672528
Hvs03	Hs03	GPCA	3043	2239	9.303780748177104
Hvs03	RRS	GPCA	10111	2796	9.238404739325079
Hvs03	RRS	GPCA	9491	11256	9.25502856981873
Hvs03	Hs03	GPCA	899	10017	12.203959703239462
Hvs03	RRS	GPCA	100002644	54813	9.207014320177533
Hvs03	RRS	GPCA	919	2918	9.451211111832329
Hvs03	RRS	GPCA	100069110	3890	9.878050912728536
Hvs03	Hs03	GPCA	5894	100063987	9.813781191217037
Hvs03	Hs03	GPCA	4548	5093	14.290090864655879
Hvs03	RRS	GPCA	13486	5157	9.364134655008051
Hvs03	Hs03	GPCA	13795	12844	9.813781191217037
Hvs03	RRS	GPCA	55641	100069191	9.172427508645484
Hvs03	Hs03	GPCA	100064148	100014332	9.802516365121223
Hvs03	Hs03	GPCA	26	12438	9.438791852578262
Hvs03	RRS	GPCA	4676	4616	9.4093909361377
Hvs03	RRS	GPCA	13017	11207	9.586839787961827
Hvs03	RRS	GPCA	55915	72102	12.405407422219204
Hvs03	Hs03	GPCA	482	54082	13.64622117183188
Hvs03	Lit-BM	GPCA	5951	5951	9.066089190457772
Hvs03	Lit-BM	GPCA	5246	71385	9.25502856981873
Hvs03	RRS	GPCA	4026	71037	10.993646060016596
Hvs03	RRS	GPCA	13054	8245	11.668441828052998
Hvs03	RRS	GPCA	56174	71113	9.207014320177533
Hvs03	Lit-BM	GPCA	11563	8274	9.686500527183219
Hvs03	RRS	GPCA	8334	10037	9.586839787961827
Hvs03	Hs03	GPCA	70025	3048	9.54882190845875
Hvs03	RRS	GPCA	1765	5068	9.734709620225837
Hvs03	RRS	GPCA	100067220	53023	9.625708843064466
Hvs03	Lit-BM	GPCA	71566	4115	14.642446619520054
Hvs03	RRS	GPCA	56829	616	9.612868497291041
Hvs03	Hs03	GPCA	7175	1190	9.394462694610317
Hvs03	Lit-BM	GPCA	4126	4126	14.307770031890703
Hvs03	Hs03	GPCA	130	5000	9.189824558880018
Hvs03	Lit-BM	GPCA	6221	100061562	9.207014320177533
Hvs03	RRS	GPCA	682	10163	9.189824558880018
Hvs03	RRS	GPCA	56866	3642	11.507794640198696
Hvs03	RRS	GPCA	5619	5526	9.710806433699352
Hvs03	Hs03	GPCA	56717	71959	9.573647187493323
Hvs03	RRS	GPCA	4812	6390	9.25502856981873
Hvs03	Lit-BM	GPCA	208	10036	9.54882190845875
Hvs03	RRS	GPCA	4257	56589	9.348728154231079
Hvs03	Lit-BM	GPCA	7587	52905	9.4093909361377
Hvs03	RRS	GPCA	10399	54986	9.888743248898258
Hvs03	Hs03	GPCA	4846	7784	9.638435913990472
Hvs03	Hs03	GPCA	7606	12853	9.379378367071263
Hvs03	Hs03	GPCA	768	5143	9.888743248898258
Hvs03	Hs03	GPCA	1596	1427	9.535275376620804
Hvs03	RRS	GPCA	4928	71416	9.493855449240824
Hvs03	Lit-BM	GPCA	14287	71438	9.066089190457772
Hvs03	RRS	GPCA	71914	71287	9.661778097771988
Hvs03	RRS	GPCA	2207	100014223	11.267371931265274
Hvs03	Hs03	GPCA	14506	71136	13.689670445963221
Hvs03	Hs03	GPCA	3838	3838	15.436418757754495
Hvs03	Hs03	GPCA	12438	53053	11.018200178813226
Hvs03	Hs03	GPCA	100015072	71628	9.100662339005199
Hvs03	Hs03	GPCA	56141	12616	8.968666793195208
Hvs03	RRS	GPCA	52594	4490	9.303780748177104
Hvs03	Lit-BM	GPCA	54902	5109	9.507794640198696
Hvs03	RRS	GPCA	2861	55724	10.762382038710394
Hvs03	Hs03	GPCA	12387	9637	9.4655664048094
Hvs03	RRS	GPCA	71452	2943	9.047123912114026
Hvs03	Hs03	GPCA	100068177	55699	9.451211111832329
Hvs03	Hs03	GPCA	14983	71492	8.988684686772165
Hvs03	Hs03	GPCA	3971	3971	20.083822092891616
Hvs03	Lit-BM	GPCA	11208	11208	9.451211111832329
Hvs03	RRS	GPCA	100061732	100068241	9.189824558880018
Hvs03	RRS	GPCA	5956	13718	9.333155350310617
Hvs03	Hs03	GPCA	55691	11256	9.008428622070582
Hvs03	RRS	GPCA	70361	56182	9.756556322524087
Hvs03	Hs03	GPCA	3044	13600	9.54882190845875
Hvs03	RRS	GPCA	53018	70606	9.082149041353873
Hvs03	Hs03	GPCA	13600	100064207	9.586839787961827
Hvs03	Hs03	GPCA	71072	5370	10.303780748177104
Hvs03	RRS	GPCA	621	55599	9.13699111208023
Hvs03	RRS	GPCA	11664	13680	9.008428622070582
Hvs03	RRS	GPCA	127	6756	9.027905996569885
Hvs03	Hs03	GPCA	6230	8013	9.802516365121223
Hvs03	Lit-BM	GPCA	164	53687	10.547858506058418
Hvs03	Lit-BM	GPCA	10794	6297	9.686500527183219
Hvs03	Lit-BM	GPCA	100066371	53366	9.364134655008051
Hvs03	RRS	GPCA	8963	9081	9.271463027904375
Hvs03	RRS	GPCA	9068	55165	9.172427508645484
Hvs03	Lit-BM	GPCA	52987	7587	8.88874324889826
Hvs03	Lit-BM	GPCA	54157	3154	9.493855449240824
Hvs03	RRS	GPCA	4875	7111	9.027905996569885
Hvs03	Lit-BM	GPCA	9215	12304	9.287712379549449
Hvs03	RRS	GPCA	70481	71806	9.908392620773752
Hvs03	Lit-BM	GPCA	756	11706	9.303780748177104
Hvs03	Hs03	GPCA	53886	9281	9.573647187493323
Hvs03	Hs03	GPCA	10572	14983	8.930737337562887
Hvs03	RRS	GPCA	100069219	2154	9.027905996569885
Hvs03	RRS	GPCA	5762	12343	9.238404739325079
Hvs03	RRS	GPCA	4435	100064156	9.493855449240824
Hvs03	RRS	GPCA	8567	3846	13.879774677336927
Hvs03	RRS	GPCA	72019	71649	8.948367231584678
Hvs03	Hs03	GPCA	349	6644	15.514714054138489
Hvs03	Hs03	GPCA	100064146	12624	9.207014320177533
Hvs03	RRS	GPCA	54923	56944	10.018200178813226
Hvs03	Hs03	GPCA	3364	11163	9.319672120946995
Hvs03	RRS	GPCA	10281	5910	12.412569846805209
Hvs03	Hs03	GPCA	991	6704	15.812302673315296
Hvs03	Hs03	GPCA	3942	13662	9.271463027904375
Hvs03	RRS	GPCA	3385	8244	9.394462694610317
Hvs03	RRS	GPCA	1643	55010	9.364134655008051
Hvs03	RRS	GPCA	54041	4604	10.083479327331842
Hvs03	Lit-BM	GPCA	5192	9293	15.225207436943501
Hvs03	RRS	GPCA	2975	9458	9.791162888555018
Hvs03	RRS	GPCA	1682	12642	9.479780264029099
Hvs03	Hs03	GPCA	1074	11356	9.082149041353873
Hvs03	RRS	GPCA	100064201	9809	10.027905996569885
Hvs03	Hs03	GPCA	56176	78	10.205793249397157
Hvs03	Lit-BM	GPCA	5980	100069121	9.661778097771988
Hvs03	Hs03	GPCA	7544	7121	9.207014320177533
Hvs03	RRS	GPCA	13413	100069066	10.018200178813226
Hvs03	RRS	GPCA	1102	70764	9.364134655008051
Hvs03	RRS	GPCA	11755	2453	9.154818109052105
Hvs03	Hs03	GPCA	4758	56684	10.824163209744158
Hvs03	Hs03	GPCA	2537	15026	9.221587121264806
Hvs03	RRS	GPCA	5432	54053	9.4655664048094
Hvs03	Hs03	GPCA	2725	2587	9.744833837499547
Hvs03	RRS	GPCA	14717	4790	9.271463027904375
Hvs03	RRS	GPCA	53344	56439	9.221587121264806
Hvs03	RRS	GPCA	2654	12333	9.172427508645484
Hvs03	RRS	GPCA	55746	10481	10.63117705570398
Hvs03	Lit-BM	GPCA	1392	70370	9.25502856981873
Hvs03	Hs03	GPCA	12438	4297	11.466076461396254
Hvs03	Lit-BM	GPCA	6452	70281	9.172427508645484
Hvs03	Hs03	GPCA	2092	3427	11.458919206967593
Hvs03	Hs03	GPCA	5143	791	10.027905996569885
Hvs03	Hs03	GPCA	56684	2113	9.319672120946995
Hvs03	Hs03	GPCA	100064145	54354	11.727920454563199
Hvs03	RRS	GPCA	10371	3202	9.348728154231079
Hvs03	Hs03	GPCA	54665	56717	9.027905996569885
Hvs03	Hs03	GPCA	3840	4168	18.098741491357806
Hvs03	RRS	GPCA	3283	70786	9.4093909361377
Hvs03	Hs03	GPCA	100000407	6867	9.027905996569885
Hvs03	Lit-BM	GPCA	100068256	12631	9.082149041353873
Hvs03	RRS	GPCA	14023	399	9.4241662888181
Hvs03	RRS	GPCA	10219	5127	9.479780264029099
Hvs03	Hs03	GPCA	54404	9637	9.172427508645484
Hvs03	Lit-BM	GPCA	11579	421	9.008428622070582
Hvs03	RRS	GPCA	11468	5932	11.078817949961978
Hvs03	Hs03	GPCA	1047	53053	9.189824558880018
Hvs03	Hs03	GPCA	13662	3958	9.207014320177533
Hvs03	RRS	GPCA	1660	71745	9.271463027904375
Hvs03	RRS	GPCA	10227	2362	9.333155350310617
Hvs03	RRS	GPCA	14650	5943	9.573647187493323
Hvs03	Hs03	GPCA	55730	9746	9.394462694610317
Hvs03	Hs03	GPCA	1668	55699	9.238404739325079
Hvs03	Hs03	GPCA	7916	1074	9.4241662888181
Hvs03	RRS	GPCA	3008	100061932	9.625708843064466
Hvs03	Lit-BM	GPCA	3510	11643	9.438791852578262
Hvs03	Hs03	GPCA	1706	100009273	9.189824558880018
Hvs03	RRS	GPCA	72108	1095	9.4093909361377
Hvs03	RRS	GPCA	52927	71999	9.479780264029099
Hvs03	Hs03	GPCA	10057	55237	9.379378367071263
Hvs04	Hs05	GPCA	2448	100015503	10.751544059089099
Hvs04	RRS	GPCA	8406	100002382	10.745674324002135
Hvs04	RRS	GPCA	53023	100067220	11.802112418586066
Hvs04	Hs04	GPCA	3068	3670	10.222794902868111
Hvs04	Hs06	GPCA	4111	4111	13.346790721750704
Hvs04	Hs04	GPCA	9157	7239	11.49735289347705
Hvs04	Lit-BM	GPCA	56353	56353	9.521600439723727
Hvs04	RRS	GPCA	70759	1776	10.41679752760606
Hvs04	Hs04	GPCA	56026	3567	9.698704666770345
Hvs04	RRS	GPCA	53035	55887	10.50084187955693
Hvs04	Hs04	GPCA	2286	122	12.32671035834696
Hvs04	RRS	GPCA	5382	6625	9.451211111832329
Hvs04	Hs04	GPCA	13662	53626	9.154818109052105
Hvs04	Hs05	GPCA	56442	56442	10.850968150982439
Hvs04	Hs05	GPCA	3598	9550	16.817458378934518
Hvs04	RRS	GPCA	11664	13680	9.744833837499547
Hvs04	Hs04	GPCA	56271	5431	9.625708843064466
Hvs04	Hs05	GPCA	13628	7323	12.574120435009748
Hvs04	RRS	GPCA	642	10585	10.573647187493323
Hvs04	Hs05	GPCA	71715	3599	13.431628182620894
Hvs04	RRS	GPCA	4775	5066	10.326429487122304
Hvs04	Hs04	GPCA	11723	14864	10.018200178813226
Hvs04	Hs04	GPCA	5434	56442	10.514714054138487
Hvs04	RRS	GPCA	70345	13668	10.63117705570398
Hvs04	RRS	GPCA	14353	11743	9.438791852578262
Hvs04	Lit-BM	GPCA	53326	100015528	12.184875342908285
Hvs04	RRS	GPCA	1272	9915	9.744833837499547
Hvs04	Lit-BM	GPCA	56919	10280	9.333155350310617
Hvs04	Hs06	GPCA	71567	3632	12.720671786825555
Hvs04	Lit-BM	GPCA	53366	100066371	11.441388029346687
Hvs04	RRS	GPCA	1306	72022	9.4655664048094
Hvs04	Hs04	GPCA	7451	53279	9.661778097771988
Hvs04	Lit-BM	GPCA	54455	13777	10.599912842187129
Hvs04	Hs04	GPCA	2656	70308	10.364134655008051
Hvs04	Hs05	GPCA	11367	3662	10.521600439723727
Hvs04	RRS	GPCA	100066377	4808	9.791162888555018
Hvs04	Hs05	GPCA	11913	71250	10.486835021563051
Hvs04	Lit-BM	GPCA	52987	7587	9.348728154231079
Hvs04	Hs04	GPCA	13832	100016209	9.612868497291041
Hvs04	RRS	GPCA	3714	71669	11.567480801143045
Hvs04	RRS	GPCA	6364	11743	9.303780748177104
Hvs04	Hs06	GPCA	1386	12853	12.579080183834757
Hvs04	Lit-BM	GPCA	54157	3154	9.845490050944376
Hvs04	Hs05	GPCA	6965	2007	12.057991722759178
Hvs04	RRS	GPCA	70481	71806	8.930737337562887
Hvs04	Lit-BM	GPCA	71133	229	9.638435913990472
Hvs04	Lit-BM	GPCA	10493	53077	9.348728154231079
Hvs04	Hs06	GPCA	55122	3740	12.964521373897238
Hvs04	RRS	GPCA	3177	70995	10.231221180711186
Hvs04	Lit-BM	GPCA	8407	5651	10.05528243550119
Hvs04	Hs04	GPCA	100069030	71169	9.779719355143405
Hvs04	Hs04	GPCA	4418	13108	14.441582554398002
Hvs04	RRS	GPCA	2154	100069219	10.318542809702723
Hvs04	Hs06	GPCA	13808	7807	9.85642552862553
Hvs04	RRS	GPCA	5868	3203	10.514714054138487
Hvs04	RRS	GPCA	1484	3712	9.710806433699352
Hvs04	RRS	GPCA	873	14577	9.929258408636974
Hvs04	Hs06	GPCA	71609	100062578	10.279610581052486
Hvs04	Hs04	GPCA	100015539	10842	11.60917873814198
Hvs04	RRS	GPCA	3846	8567	14.032992744446524
Hvs04	RRS	GPCA	9527	10882	9.686500527183219
Hvs04	RRS	GPCA	100002644	54813	9.54882190845875
Hvs04	RRS	GPCA	72019	71649	9.507794640198696
Hvs04	Hs05	GPCA	10904	2260	13.867182196393744
Hvs04	Hs06	GPCA	10876	13449	10.188588845707349
Hvs04	RRS	GPCA	2842	40080743	9.438791852578262
Hvs04	Hs05	GPCA	5081	12368	9.154818109052105
Hvs04	RRS	GPCA	56762	9556	9.612868497291041
Hvs04	Hs06	GPCA	71280	4511	11.67771964164101
Hvs04	Lit-BM	GPCA	6512	966	12.314866431053177
Hvs04	RRS	GPCA	3651	2860	13.058160884398685
Hvs04	Hs05	GPCA	12638	52646	13.941506172518718
Hvs04	RRS	GPCA	9881	6884	9.451211111832329
Hvs04	Lit-BM	GPCA	70281	9637	9.4655664048094
Hvs04	RRS	GPCA	5910	10281	11.176173149107491
Hvs04	RRS	GPCA	71950	8022	10.964340867792417
Hvs04	Hs05	GPCA	14830	11067	9.625708843064466
Hvs04	Hs04	GPCA	100070143	55320	12.396337194231098
Hvs04	RRS	GPCA	12387	430	9.479780264029099
Hvs04	Hs04	GPCA	10876	1011	10.181152256865566
Hvs04	RRS	GPCA	100069191	55641	9.521600439723727
Hvs04	Hs04	GPCA	14864	442	9.438791852578262
Hvs04	RRS	GPCA	55814	56381	9.4241662888181
Hvs04	Hs06	GPCA	1668	9342	12.743992861060175
Hvs04	Lit-BM	GPCA	56155	15065	10.047123912114026
Hvs04	RRS	GPCA	55915	72102	11.596655667674664
Hvs04	Hs04	GPCA	100064148	100016209	9.451211111832329
Hvs04	RRS	GPCA	12642	1682	9.744833837499547
Hvs04	RRS	GPCA	2364	12355	12.180530807344482
Hvs04	Lit-BM	GPCA	53934	4623	10.7279204545632
Hvs04	Hs05	GPCA	11229	52785	11.267371931265274
Hvs04	RRS	GPCA	11819	3005	9.734709620225837
Hvs04	RRS	GPCA	9809	100064201	9.4093909361377
Hvs04	Lit-BM	GPCA	1689	4956	9.970105890612182
Hvs04	RRS	GPCA	2379	14114	10.154818109052105
Hvs04	RRS	GPCA	4026	71037	12.766942940755785
Hvs04	Hs05	GPCA	54347	7101	9.661778097771988
Hvs04	RRS	GPCA	13230	53695	9.207014320177533
Hvs04	Lit-BM	GPCA	5980	100069121	9.888743248898258
Hvs04	Hs04	GPCA	2758	1094	13.796546653800684
Hvs04	Hs06	GPCA	56359	9969	12.457380879072534
Hvs04	RRS	GPCA	13413	100069066	9.638435913990472
Hvs04	Hs06	GPCA	52901	52901	14.11178773580101
Hvs04	RRS	GPCA	70764	1102	9.560332834212442
Hvs04	RRS	GPCA	4750	4075	13.70606426733497
Hvs04	RRS	GPCA	55793	5331	11.671541066711885
Hvs04	RRS	GPCA	4101	11361	9.438791852578262
Hvs04	RRS	GPCA	100068173	5352	9.287712379549449
Hvs04	Hs05	GPCA	56722	10057	9.535275376620804
Hvs04	Hs05	GPCA	11723	1136	9.573647187493323
Hvs04	Hs06	GPCA	52986	13604	14.494043027420501
Hvs04	Hs04	GPCA	1774	52743	11.570804437724497
Hvs04	Lit-BM	GPCA	9535	120	9.4655664048094
Hvs04	Hs05	GPCA	5965	3068	9.625708843064466
Hvs04	Lit-BM	GPCA	7684	2483	9.438791852578262
Hvs04	Hs04	GPCA	3585	14939	11.80493767205191
Hvs04	Hs06	GPCA	11887	3068	11.427312844134963
Hvs04	Hs05	GPCA	7807	5430	10.745674324002135
Hvs04	Lit-BM	GPCA	8542	54031	10.092757140919852
Hvs04	Hs04	GPCA	145	3068	10.82972273508606
Hvs04	RRS	GPCA	1844	53185	9.118941072723507
Hvs04	Hs05	GPCA	14830	4786	9.535275376620804
Hvs04	Hs05	GPCA	2973	155	9.333155350310617
Hvs04	Hs06	GPCA	8967	7428	8.930737337562887
Hvs04	RRS	GPCA	10163	682	10.486835021563051
Hvs04	RRS	GPCA	3642	56866	10.188588845707349
Hvs04	Hs06	GPCA	71514	56822	9.535275376620804
Hvs04	Hs05	GPCA	200	3939	10.371776644337924
Hvs04	Hs04	GPCA	54869	13791	11.68650052718322
Hvs04	Hs06	GPCA	70897	3672	10.586839787961827
Hvs04	Hs05	GPCA	70073	100015161	11.065416134676548
Hvs04	Lit-BM	GPCA	52905	7587	9.13699111208023
Hvs04	Hs05	GPCA	4852	6555	9.878050912728536
Hvs04	RRS	GPCA	10219	5603	10.047123912114026
Hvs04	RRS	GPCA	55746	10481	10.85642552862553
Hvs04	Hs05	GPCA	9272	740	13.179598130849836
Hvs04	Lit-BM	GPCA	11903	2709	15.974728262999793
