ensembl_gene_id_a	ensembl_gene_id_b	n_publications	n_methods	n_evidences
ENSG00000088832	ENSG00000135503	2	2	2
ENSG00000088832	ENSG00000106799	4	4	5
ENSG00000088832	ENSG00000198793	10	6	10
ENSG00000088832	ENSG00000088832	2	1	2
ENSG00000152137	ENSG00000152137	1	3	3
ENSG00000107779	ENSG00000115170	2	2	2
ENSG00000010810	ENSG00000117560	5	3	5
ENSG00000123405	ENSG00000137693	1	2	2
ENSG00000120885	ENSG00000171552	2	4	4
ENSG00000109046	ENSG00000154582	2	2	2
ENSG00000109046	ENSG00000211448	3	3	4
ENSG00000107130	ENSG00000169306	1	2	2
ENSG00000109046	ENSG00000119535	1	2	2
ENSG00000136205	ENSG00000169398	1	2	2
ENSG00000204256	ENSG00000278705	4	5	6
ENSG00000197061	ENSG00000204256	4	5	6
ENSG00000121691	ENSG00000183785	1	2	2
ENSG00000204256	ENSG00000270882	4	5	6
ENSG00000204256	ENSG00000270276	4	5	6
ENSG00000078967	ENSG00000165886	2	1	2
ENSG00000204256	ENSG00000273542	4	5	6
ENSG00000204256	ENSG00000277157	4	5	6
ENSG00000204256	ENSG00000276180	4	5	6
ENSG00000204256	ENSG00000278637	4	5	6
ENSG00000204256	ENSG00000275126	4	5	6
ENSG00000064393	ENSG00000109046	1	4	4
ENSG00000204256	ENSG00000276966	4	5	6
ENSG00000138758	ENSG00000184702	2	3	4
ENSG00000175595	ENSG00000188827	10	5	15
ENSG00000071051	ENSG00000115310	1	2	2
ENSG00000113194	ENSG00000165280	9	4	9
ENSG00000023734	ENSG00000239672	1	5	5
ENSG00000088986	ENSG00000171723	3	3	3
ENSG00000134480	ENSG00000272047	2	2	2
ENSG00000131089	ENSG00000171723	1	2	2
ENSG00000141367	ENSG00000185359	3	3	4
ENSG00000012061	ENSG00000175595	8	6	11
ENSG00000084623	ENSG00000130811	3	3	3
ENSG00000158406	ENSG00000204256	4	5	6
ENSG00000136205	ENSG00000146648	2	4	4
ENSG00000197837	ENSG00000204256	4	5	6
ENSG00000204256	ENSG00000274618	4	5	6
ENSG00000126698	ENSG00000137309	1	2	2
ENSG00000097007	ENSG00000140368	1	2	2
ENSG00000146425	ENSG00000213585	1	2	2
ENSG00000135046	ENSG00000137309	1	2	2
ENSG00000137309	ENSG00000177606	2	2	2
ENSG00000137309	ENSG00000138385	1	2	2
ENSG00000137309	ENSG00000164985	1	3	3
ENSG00000097007	ENSG00000204410	2	7	8
ENSG00000137309	ENSG00000181163	2	1	2
ENSG00000137309	ENSG00000182718	1	2	2
ENSG00000137486	ENSG00000141367	3	4	4
ENSG00000153563	ENSG00000167286	1	2	2
ENSG00000028277	ENSG00000137309	1	2	2
ENSG00000137309	ENSG00000189403	1	2	2
ENSG00000135486	ENSG00000137309	1	2	2
ENSG00000083937	ENSG00000101421	2	2	2
ENSG00000135316	ENSG00000137309	1	3	3
ENSG00000137309	ENSG00000152795	1	2	2
ENSG00000134539	ENSG00000134545	4	3	5
ENSG00000006638	ENSG00000157017	1	2	2
ENSG00000090376	ENSG00000184216	4	3	4
ENSG00000150991	ENSG00000185046	1	2	2
ENSG00000116560	ENSG00000147140	6	3	7
ENSG00000013810	ENSG00000134046	1	2	2
ENSG00000044115	ENSG00000144711	1	2	2
ENSG00000115594	ENSG00000125538	2	2	2
ENSG00000029993	ENSG00000137309	1	2	2
ENSG00000017427	ENSG00000115461	2	2	2
ENSG00000134363	ENSG00000214274	1	3	3
ENSG00000006125	ENSG00000141367	3	3	4
ENSG00000149929	ENSG00000204435	1	3	3
ENSG00000123191	ENSG00000177556	5	3	6
ENSG00000073008	ENSG00000146425	1	2	2
ENSG00000065361	ENSG00000157168	5	6	8
ENSG00000079385	ENSG00000164326	1	3	3
ENSG00000141367	ENSG00000166747	3	2	3
ENSG00000013810	ENSG00000105325	1	2	2
ENSG00000147133	ENSG00000197238	2	2	2
ENSG00000147133	ENSG00000197837	2	2	2
ENSG00000147133	ENSG00000158406	2	2	2
ENSG00000147133	ENSG00000278705	2	2	2
ENSG00000104824	ENSG00000137309	1	2	2
ENSG00000147133	ENSG00000197061	2	2	2
ENSG00000147133	ENSG00000270276	2	2	2
ENSG00000147133	ENSG00000273542	2	2	2
ENSG00000147133	ENSG00000277157	2	2	2
ENSG00000147133	ENSG00000276966	2	2	2
ENSG00000147133	ENSG00000276180	2	2	2
ENSG00000147133	ENSG00000278637	2	2	2
ENSG00000147133	ENSG00000275126	2	2	2
ENSG00000146109	ENSG00000171867	1	2	2
ENSG00000147133	ENSG00000270882	2	2	2
ENSG00000137309	ENSG00000143190	1	2	2
ENSG00000147133	ENSG00000274618	2	2	2
ENSG00000086548	ENSG00000164326	1	3	3
ENSG00000115170	ENSG00000204217	2	2	3
ENSG00000070756	ENSG00000089053	1	2	2
ENSG00000125965	ENSG00000204217	2	2	2
ENSG00000106799	ENSG00000204217	2	1	2
ENSG00000106683	ENSG00000157168	1	2	2
ENSG00000146648	ENSG00000185634	2	3	3
ENSG00000115310	ENSG00000171791	2	2	3
ENSG00000125845	ENSG00000204217	3	3	4
ENSG00000141367	ENSG00000183020	3	3	3
ENSG00000131759	ENSG00000137309	1	2	2
ENSG00000142192	ENSG00000162604	1	2	2
ENSG00000107779	ENSG00000125965	2	2	2
ENSG00000125965	ENSG00000138696	2	3	3
ENSG00000137309	ENSG00000196419	1	3	3
ENSG00000125845	ENSG00000125845	2	2	2
ENSG00000125845	ENSG00000138696	2	2	2
ENSG00000101665	ENSG00000137834	2	2	3
ENSG00000131323	ENSG00000204104	2	3	3
ENSG00000137309	ENSG00000188342	1	2	2
ENSG00000197238	ENSG00000204256	4	5	6
ENSG00000134539	ENSG00000205809	3	2	3
ENSG00000129083	ENSG00000143761	3	2	3
ENSG00000143761	ENSG00000143761	2	2	2
ENSG00000112851	ENSG00000144283	5	4	8
ENSG00000133401	ENSG00000169862	1	2	2
ENSG00000174808	ENSG00000196154	1	2	2
ENSG00000080815	ENSG00000169862	1	2	2
ENSG00000051180	ENSG00000139618	29	12	40
ENSG00000145675	ENSG00000167601	1	2	2
ENSG00000124181	ENSG00000167601	1	2	2
ENSG00000033122	ENSG00000169862	2	3	3
ENSG00000051180	ENSG00000085224	6	3	9
ENSG00000138107	ENSG00000173898	1	2	2
ENSG00000105993	ENSG00000111057	1	4	4
ENSG00000103275	ENSG00000103275	7	4	8
ENSG00000103275	ENSG00000116030	19	10	25
ENSG00000146648	ENSG00000167601	1	2	2
ENSG00000119673	ENSG00000196338	1	2	2
ENSG00000111254	ENSG00000114302	2	3	3
ENSG00000103275	ENSG00000188612	10	6	13
ENSG00000051180	ENSG00000116030	2	2	2
ENSG00000085415	ENSG00000157020	3	4	4
ENSG00000100146	ENSG00000103275	1	2	2
ENSG00000112851	ENSG00000151914	1	2	2
ENSG00000012048	ENSG00000104343	4	3	6
ENSG00000070831	ENSG00000173327	3	3	3
ENSG00000126602	ENSG00000182197	1	2	2
ENSG00000134262	ENSG00000221838	1	2	2
ENSG00000035862	ENSG00000157227	4	4	4
ENSG00000081014	ENSG00000134262	3	3	3
ENSG00000099889	ENSG00000129910	1	2	2
ENSG00000111199	ENSG00000135525	1	2	2
ENSG00000100324	ENSG00000112062	5	5	7
ENSG00000002016	ENSG00000051180	5	5	6
ENSG00000104960	ENSG00000204628	1	2	2
ENSG00000101966	ENSG00000104343	2	2	2
ENSG00000114353	ENSG00000121957	3	4	5
ENSG00000051180	ENSG00000132383	3	3	3
ENSG00000102900	ENSG00000163002	2	2	2
ENSG00000112851	ENSG00000132470	1	2	2
ENSG00000039068	ENSG00000144283	2	2	2
ENSG00000080815	ENSG00000144283	1	3	3
ENSG00000085415	ENSG00000153207	1	2	2
ENSG00000152256	ENSG00000152256	2	2	2
ENSG00000068024	ENSG00000103275	5	3	6
ENSG00000051180	ENSG00000103275	2	1	2
ENSG00000103275	ENSG00000184900	5	5	5
ENSG00000139618	ENSG00000158636	1	2	2
ENSG00000156983	ENSG00000270276	1	2	2
ENSG00000156983	ENSG00000273542	1	2	2
ENSG00000156983	ENSG00000277157	1	2	2
ENSG00000156983	ENSG00000276966	1	2	2
ENSG00000156983	ENSG00000276180	1	2	2
ENSG00000112130	ENSG00000170142	1	2	2
ENSG00000156983	ENSG00000278637	1	2	2
ENSG00000080802	ENSG00000170142	2	1	2
ENSG00000156983	ENSG00000275126	1	2	2
ENSG00000092067	ENSG00000182195	1	2	2
ENSG00000033800	ENSG00000092067	1	2	2
ENSG00000092067	ENSG00000197555	1	2	2
ENSG00000103275	ENSG00000132170	2	3	3
ENSG00000064703	ENSG00000109846	2	2	3
ENSG00000103275	ENSG00000160200	1	2	2
ENSG00000119335	ENSG00000187514	1	2	2
ENSG00000103275	ENSG00000140464	9	4	10
ENSG00000012048	ENSG00000103275	2	3	3
ENSG00000156983	ENSG00000270882	1	2	2
ENSG00000156983	ENSG00000197061	1	2	2
ENSG00000028203	ENSG00000137474	1	2	2
ENSG00000004468	ENSG00000110395	2	2	3
ENSG00000103275	ENSG00000197299	1	2	2
ENSG00000051180	ENSG00000051180	7	5	7
ENSG00000103275	ENSG00000153201	9	6	9
ENSG00000092067	ENSG00000103275	1	2	2
ENSG00000092067	ENSG00000153879	2	3	3
ENSG00000103275	ENSG00000189283	1	2	2
ENSG00000100401	ENSG00000103275	20	7	23
ENSG00000092067	ENSG00000175197	1	2	2
ENSG00000077942	ENSG00000136999	1	2	2
ENSG00000136999	ENSG00000196154	1	2	2
ENSG00000156983	ENSG00000274618	1	2	2
ENSG00000012048	ENSG00000170142	3	3	5
ENSG00000156983	ENSG00000197238	1	2	2
ENSG00000156508	ENSG00000196338	1	2	2
ENSG00000156983	ENSG00000197837	1	2	2
ENSG00000103275	ENSG00000139083	1	2	2
ENSG00000156983	ENSG00000158406	1	2	2
ENSG00000156983	ENSG00000278705	1	2	2
ENSG00000108312	ENSG00000119335	1	3	3
ENSG00000058091	ENSG00000108100	2	4	4
ENSG00000026508	ENSG00000118785	2	1	2
ENSG00000111199	ENSG00000111199	1	2	2
ENSG00000132485	ENSG00000160201	1	2	2
ENSG00000141759	ENSG00000169217	1	2	2
ENSG00000101161	ENSG00000141759	1	2	2
ENSG00000102103	ENSG00000141759	2	1	2
ENSG00000063244	ENSG00000160201	5	4	5
ENSG00000162367	ENSG00000166407	2	2	2
ENSG00000100138	ENSG00000152942	1	2	2
ENSG00000101255	ENSG00000196470	1	2	2
ENSG00000101255	ENSG00000204217	1	2	2
ENSG00000100138	ENSG00000136875	2	2	2
ENSG00000113594	ENSG00000242689	3	5	5
ENSG00000132485	ENSG00000275895	1	2	2
ENSG00000090006	ENSG00000101255	1	2	2
ENSG00000008128	ENSG00000175390	1	2	2
ENSG00000152422	ENSG00000187736	4	5	7
ENSG00000135250	ENSG00000160201	2	5	5
ENSG00000114867	ENSG00000136937	3	3	4
ENSG00000102225	ENSG00000108100	1	3	3
ENSG00000114503	ENSG00000136937	7	7	10
ENSG00000148730	ENSG00000151247	6	5	7
ENSG00000135108	ENSG00000255302	2	4	5
ENSG00000139687	ENSG00000255302	5	3	6
ENSG00000131910	ENSG00000255302	3	2	4
ENSG00000126226	ENSG00000255302	1	2	2
ENSG00000099783	ENSG00000160201	1	2	2
ENSG00000196338	ENSG00000198712	1	2	2
ENSG00000090615	ENSG00000167720	1	2	2
ENSG00000091879	ENSG00000120156	7	7	13
ENSG00000085511	ENSG00000108984	6	4	8
ENSG00000140459	ENSG00000196338	1	2	2
ENSG00000085511	ENSG00000116717	2	3	3
ENSG00000134480	ENSG00000213780	2	2	2
ENSG00000085511	ENSG00000130222	2	3	3
ENSG00000085511	ENSG00000099860	3	4	4
ENSG00000085511	ENSG00000085511	2	2	2
ENSG00000101161	ENSG00000101161	2	1	2
ENSG00000101161	ENSG00000144028	2	3	3
ENSG00000101255	ENSG00000221995	1	2	2
ENSG00000113194	ENSG00000177666	1	2	2
ENSG00000103310	ENSG00000103310	1	3	3
ENSG00000101255	ENSG00000160294	1	2	2
ENSG00000008128	ENSG00000149269	1	2	2
ENSG00000101255	ENSG00000115414	1	2	2
ENSG00000101109	ENSG00000101109	6	7	8
ENSG00000112130	ENSG00000182247	3	3	4
ENSG00000182247	ENSG00000239305	2	1	2
ENSG00000089250	ENSG00000103043	1	3	3
ENSG00000075914	ENSG00000178896	4	4	4
ENSG00000130713	ENSG00000178896	3	4	4
ENSG00000101109	ENSG00000117450	1	5	5
ENSG00000160293	ENSG00000165025	2	2	2
ENSG00000111671	ENSG00000154582	3	3	4
ENSG00000113194	ENSG00000113194	1	2	2
ENSG00000101255	ENSG00000128272	2	3	4
ENSG00000006638	ENSG00000127837	1	2	2
ENSG00000101558	ENSG00000182372	1	2	2
ENSG00000166896	ENSG00000196419	1	2	2
ENSG00000134982	ENSG00000157193	1	2	2
ENSG00000007168	ENSG00000007168	3	3	4
ENSG00000133639	ENSG00000170689	1	2	2
ENSG00000101255	ENSG00000204435	1	2	2
ENSG00000007168	ENSG00000130779	2	2	4
ENSG00000012048	ENSG00000182247	3	3	5
ENSG00000101161	ENSG00000175467	1	2	2
ENSG00000101255	ENSG00000142208	1	2	2
ENSG00000030582	ENSG00000101255	1	2	2
ENSG00000136875	ENSG00000171960	5	4	5
ENSG00000089123	ENSG00000089123	1	4	4
ENSG00000100906	ENSG00000103275	2	2	2
ENSG00000050628	ENSG00000157017	1	2	2
ENSG00000123384	ENSG00000160339	1	2	2
ENSG00000081087	ENSG00000171700	1	2	2
ENSG00000012061	ENSG00000146648	1	2	2
ENSG00000091831	ENSG00000107485	2	3	3
ENSG00000112658	ENSG00000122180	2	2	3
ENSG00000100906	ENSG00000162924	6	4	6
ENSG00000177302	ENSG00000197299	9	6	11
ENSG00000105229	ENSG00000137834	1	2	2
ENSG00000105229	ENSG00000141510	2	2	3
ENSG00000125835	ENSG00000169217	2	5	6
ENSG00000114315	ENSG00000221829	1	2	2
ENSG00000105610	ENSG00000150991	2	2	2
ENSG00000105610	ENSG00000110768	1	2	2
ENSG00000117713	ENSG00000177374	1	2	2
ENSG00000112511	ENSG00000177374	1	2	2
ENSG00000175029	ENSG00000177374	3	3	5
ENSG00000085276	ENSG00000177374	1	2	2
ENSG00000105835	ENSG00000142089	1	2	2
ENSG00000159692	ENSG00000177374	2	2	2
ENSG00000128708	ENSG00000275126	4	3	5
ENSG00000128708	ENSG00000276180	4	3	5
ENSG00000128708	ENSG00000274618	4	3	5
ENSG00000128708	ENSG00000197238	4	3	5
ENSG00000128708	ENSG00000197837	4	3	5
ENSG00000128708	ENSG00000158406	4	3	5
ENSG00000116062	ENSG00000136273	1	2	2
ENSG00000128708	ENSG00000278705	4	3	5
ENSG00000113456	ENSG00000116062	1	2	2
ENSG00000128708	ENSG00000278637	4	3	5
ENSG00000105229	ENSG00000204713	1	2	2
ENSG00000128708	ENSG00000197061	4	3	5
ENSG00000128708	ENSG00000270882	4	3	5
ENSG00000128708	ENSG00000270276	4	3	5
ENSG00000128708	ENSG00000273542	4	3	5
ENSG00000128708	ENSG00000277157	4	3	5
ENSG00000128708	ENSG00000276966	4	3	5
ENSG00000107643	ENSG00000162924	1	2	2
ENSG00000104852	ENSG00000132485	1	2	2
ENSG00000080503	ENSG00000141380	4	3	5
ENSG00000112164	ENSG00000142089	2	2	3
ENSG00000168214	ENSG00000224470	1	4	4
ENSG00000163939	ENSG00000277775	3	3	3
ENSG00000065717	ENSG00000114315	1	2	2
ENSG00000141510	ENSG00000168078	1	2	2
ENSG00000163939	ENSG00000274267	3	3	3
ENSG00000114353	ENSG00000177963	2	3	3
ENSG00000168148	ENSG00000196363	4	3	4
ENSG00000148400	ENSG00000168214	17	6	19
ENSG00000127616	ENSG00000142453	1	2	2
ENSG00000087258	ENSG00000177963	1	2	2
ENSG00000156052	ENSG00000177963	2	2	4
ENSG00000150991	ENSG00000162585	5	2	7
ENSG00000125731	ENSG00000146648	3	4	4
ENSG00000075711	ENSG00000168078	1	3	3
ENSG00000127955	ENSG00000177963	3	3	4
ENSG00000120063	ENSG00000177963	1	2	2
ENSG00000065135	ENSG00000177963	2	3	3
ENSG00000163939	ENSG00000275379	3	3	3
ENSG00000163939	ENSG00000274750	3	3	3
ENSG00000163939	ENSG00000273983	3	3	3
ENSG00000134250	ENSG00000168214	4	4	4
ENSG00000078403	ENSG00000141380	1	2	2
ENSG00000005007	ENSG00000151461	18	6	20
ENSG00000124788	ENSG00000168214	1	4	4
ENSG00000105327	ENSG00000258643	2	2	2
ENSG00000014216	ENSG00000126247	2	3	3
ENSG00000163939	ENSG00000197409	3	3	3
ENSG00000163939	ENSG00000197153	3	3	3
ENSG00000105327	ENSG00000129473	2	2	2
ENSG00000105327	ENSG00000143384	7	4	7
ENSG00000014216	ENSG00000187741	1	2	2
ENSG00000080824	ENSG00000126456	2	3	3
ENSG00000014216	ENSG00000221829	1	2	2
ENSG00000105327	ENSG00000171552	6	7	9
ENSG00000105327	ENSG00000171791	4	3	5
ENSG00000163939	ENSG00000278828	3	3	3
ENSG00000163939	ENSG00000278272	3	3	3
ENSG00000114315	ENSG00000187741	1	2	2
ENSG00000163939	ENSG00000275714	3	3	3
ENSG00000116062	ENSG00000132646	7	3	8
ENSG00000116062	ENSG00000196419	1	2	2
ENSG00000095002	ENSG00000116062	12	7	13
ENSG00000116670	ENSG00000168615	1	2	2
ENSG00000147162	ENSG00000169375	2	3	3
ENSG00000188211	ENSG00000204475	2	3	4
ENSG00000166192	ENSG00000166200	1	2	2
ENSG00000151577	ENSG00000159212	1	2	2
ENSG00000132170	ENSG00000174943	1	2	2
ENSG00000126603	ENSG00000168036	1	3	3
ENSG00000105856	ENSG00000169375	1	3	3
ENSG00000069696	ENSG00000069696	2	2	3
ENSG00000069696	ENSG00000149295	1	3	3
ENSG00000132646	ENSG00000174943	1	2	2
ENSG00000116670	ENSG00000198824	3	4	5
ENSG00000039068	ENSG00000080824	1	2	2
ENSG00000116670	ENSG00000163374	1	2	2
ENSG00000116670	ENSG00000148737	1	2	2
ENSG00000105229	ENSG00000170365	2	2	3
ENSG00000116670	ENSG00000143294	1	3	3
ENSG00000105229	ENSG00000175387	2	2	3
ENSG00000169375	ENSG00000172534	3	4	5
ENSG00000102145	ENSG00000106211	1	2	2
ENSG00000113916	ENSG00000169375	3	3	4
ENSG00000116670	ENSG00000132341	1	2	2
ENSG00000129315	ENSG00000140464	1	2	2
ENSG00000067715	ENSG00000169375	1	2	2
ENSG00000107949	ENSG00000124762	2	3	3
ENSG00000102554	ENSG00000108854	1	2	2
ENSG00000164105	ENSG00000169375	14	6	15
ENSG00000032219	ENSG00000174744	3	2	3
ENSG00000108854	ENSG00000170365	6	3	8
ENSG00000158022	ENSG00000177791	2	2	3
ENSG00000039068	ENSG00000160789	1	2	2
ENSG00000129071	ENSG00000169375	1	2	2
ENSG00000099956	ENSG00000136997	2	2	3
ENSG00000039068	ENSG00000167768	1	2	2
ENSG00000129559	ENSG00000166192	4	3	5
ENSG00000108854	ENSG00000175387	11	6	14
ENSG00000116670	ENSG00000135945	11	7	16
ENSG00000105229	ENSG00000141646	3	3	4
ENSG00000116670	ENSG00000116670	1	2	2
ENSG00000129292	ENSG00000197238	1	2	2
ENSG00000129292	ENSG00000197837	1	2	2
ENSG00000129292	ENSG00000158406	1	2	2
ENSG00000129292	ENSG00000278705	1	2	2
ENSG00000129292	ENSG00000197061	1	2	2
ENSG00000129292	ENSG00000270882	1	2	2
ENSG00000129292	ENSG00000270276	1	2	2
ENSG00000129292	ENSG00000273542	1	2	2
ENSG00000129292	ENSG00000274618	1	2	2
ENSG00000130649	ENSG00000221829	2	2	3
ENSG00000129292	ENSG00000276966	1	2	2
ENSG00000129292	ENSG00000276180	1	2	2
ENSG00000129292	ENSG00000278637	1	2	2
ENSG00000129292	ENSG00000275126	1	2	2
ENSG00000091831	ENSG00000110092	2	2	3
ENSG00000108854	ENSG00000108854	8	5	10
ENSG00000012061	ENSG00000221829	1	2	2
ENSG00000085832	ENSG00000118473	1	2	2
ENSG00000129292	ENSG00000277157	1	2	2
ENSG00000137462	ENSG00000170458	2	2	2
ENSG00000122194	ENSG00000173546	1	2	2
ENSG00000071655	ENSG00000071655	3	1	3
ENSG00000067606	ENSG00000105229	2	3	4
ENSG00000105229	ENSG00000182568	2	1	2
ENSG00000105229	ENSG00000166949	2	3	3
ENSG00000152192	ENSG00000152214	1	2	2
ENSG00000105229	ENSG00000188612	4	2	5
ENSG00000142319	ENSG00000152214	1	2	2
ENSG00000039068	ENSG00000144381	1	2	2
ENSG00000108854	ENSG00000133104	2	1	2
ENSG00000105993	ENSG00000174744	1	2	2
ENSG00000076604	ENSG00000108854	2	3	4
ENSG00000110092	ENSG00000135446	31	9	34
ENSG00000071655	ENSG00000149480	5	4	6
ENSG00000039068	ENSG00000039068	5	6	7
ENSG00000012048	ENSG00000116062	4	5	6
ENSG00000116830	ENSG00000162129	2	2	2
ENSG00000198681	ENSG00000204616	1	2	2
ENSG00000096401	ENSG00000117751	1	2	2
ENSG00000147655	ENSG00000205213	2	2	2
ENSG00000102981	ENSG00000137764	1	2	2
ENSG00000112592	ENSG00000147133	12	6	13
ENSG00000067606	ENSG00000102981	7	3	7
ENSG00000108312	ENSG00000147133	1	2	2
ENSG00000147133	ENSG00000169083	1	2	2
ENSG00000139687	ENSG00000147133	4	4	7
ENSG00000102981	ENSG00000148498	6	5	7
ENSG00000102981	ENSG00000136238	2	2	3
ENSG00000102981	ENSG00000163558	8	7	10
ENSG00000112164	ENSG00000184524	1	2	2
ENSG00000152492	ENSG00000264522	1	4	4
ENSG00000123154	ENSG00000124171	1	2	2
ENSG00000072310	ENSG00000099917	4	3	5
ENSG00000144021	ENSG00000184937	1	2	2
ENSG00000118503	ENSG00000152492	1	2	2
ENSG00000150991	ENSG00000152492	1	2	2
ENSG00000070831	ENSG00000102981	4	3	5
ENSG00000152492	ENSG00000170315	1	2	2
ENSG00000131408	ENSG00000141027	3	3	4
ENSG00000141552	ENSG00000176248	4	4	4
ENSG00000066135	ENSG00000197061	2	4	5
ENSG00000131408	ENSG00000139567	1	2	2
ENSG00000066135	ENSG00000270882	2	4	5
ENSG00000163029	ENSG00000198887	4	3	4
ENSG00000132661	ENSG00000162231	5	3	5
ENSG00000116954	ENSG00000155876	10	5	11
ENSG00000116954	ENSG00000141564	6	4	6
ENSG00000141101	ENSG00000171867	1	2	2
ENSG00000182718	ENSG00000184451	1	2	2
ENSG00000102981	ENSG00000114346	1	2	2
ENSG00000131408	ENSG00000186350	2	2	3
ENSG00000066135	ENSG00000273542	2	4	5
ENSG00000066135	ENSG00000277157	2	4	5
ENSG00000066135	ENSG00000276966	2	4	5
ENSG00000066135	ENSG00000276180	2	4	5
ENSG00000066135	ENSG00000278637	2	4	5
ENSG00000066135	ENSG00000275126	2	4	5
ENSG00000102981	ENSG00000123154	1	2	2
ENSG00000066135	ENSG00000270276	2	4	5
ENSG00000130522	ENSG00000169083	1	2	2
ENSG00000068308	ENSG00000141510	3	4	5
ENSG00000075131	ENSG00000117748	2	3	3
ENSG00000026025	ENSG00000189430	1	3	3
ENSG00000026025	ENSG00000118898	2	2	3
ENSG00000119729	ENSG00000124171	2	2	3
ENSG00000108387	ENSG00000140623	2	2	2
ENSG00000167601	ENSG00000183087	2	2	2
ENSG00000175063	ENSG00000176248	2	2	3
ENSG00000084676	ENSG00000173473	1	2	2
ENSG00000160339	ENSG00000163661	2	3	4
ENSG00000124171	ENSG00000163558	6	5	8
ENSG00000088833	ENSG00000165280	18	6	21
ENSG00000070831	ENSG00000124171	5	5	8
ENSG00000130522	ENSG00000133895	4	3	6
ENSG00000169218	ENSG00000205213	4	3	4
ENSG00000071564	ENSG00000122180	4	2	4
ENSG00000071564	ENSG00000129152	4	3	6
ENSG00000101282	ENSG00000205213	2	2	2
ENSG00000071564	ENSG00000111049	2	2	2
ENSG00000071564	ENSG00000104903	1	2	2
ENSG00000071564	ENSG00000143799	1	2	2
ENSG00000068308	ENSG00000105185	1	2	2
ENSG00000071564	ENSG00000166946	1	3	3
ENSG00000071564	ENSG00000118526	1	2	2
ENSG00000071564	ENSG00000134107	1	2	2
ENSG00000107854	ENSG00000113441	3	3	4
ENSG00000026025	ENSG00000026025	5	3	5
ENSG00000136997	ENSG00000174989	1	3	3
ENSG00000125354	ENSG00000140623	3	4	4
ENSG00000114554	ENSG00000142208	1	2	2
ENSG00000067606	ENSG00000124171	5	4	6
ENSG00000124171	ENSG00000136238	1	3	3
ENSG00000013810	ENSG00000087586	2	3	3
ENSG00000066135	ENSG00000278705	2	4	5
ENSG00000130396	ENSG00000158186	1	2	2
ENSG00000085733	ENSG00000198087	1	2	2
ENSG00000114423	ENSG00000198087	2	6	8
ENSG00000146067	ENSG00000167977	1	2	2
ENSG00000140575	ENSG00000198087	1	2	2
ENSG00000141867	ENSG00000274618	3	5	6
ENSG00000141867	ENSG00000197238	3	5	6
ENSG00000141867	ENSG00000197837	3	5	6
ENSG00000141867	ENSG00000158406	3	5	6
ENSG00000107295	ENSG00000198087	1	2	2
ENSG00000141867	ENSG00000278705	3	5	6
ENSG00000141867	ENSG00000197061	3	5	6
ENSG00000141867	ENSG00000270882	3	5	6
ENSG00000141867	ENSG00000270276	3	5	6
ENSG00000025434	ENSG00000141027	3	3	4
ENSG00000141867	ENSG00000273542	3	5	6
ENSG00000025434	ENSG00000107223	1	3	3
ENSG00000111540	ENSG00000132669	1	2	2
ENSG00000141867	ENSG00000277157	3	5	6
ENSG00000116918	ENSG00000197223	1	2	2
ENSG00000167977	ENSG00000167977	3	4	5
ENSG00000049618	ENSG00000127616	5	3	6
ENSG00000166508	ENSG00000167977	1	2	2
ENSG00000151247	ENSG00000184708	3	5	5
ENSG00000007168	ENSG00000197102	5	4	6
ENSG00000008517	ENSG00000008517	2	2	2
ENSG00000081014	ENSG00000100478	2	2	2
ENSG00000149923	ENSG00000162924	1	2	2
ENSG00000166349	ENSG00000168148	1	3	3
ENSG00000116918	ENSG00000211460	5	5	6
ENSG00000012048	ENSG00000163322	11	5	15
ENSG00000100393	ENSG00000142453	6	4	8
ENSG00000112511	ENSG00000168148	1	2	2
ENSG00000116604	ENSG00000166484	1	3	3
ENSG00000080603	ENSG00000142453	1	2	2
ENSG00000060656	ENSG00000060656	1	2	2
ENSG00000101161	ENSG00000140830	1	2	2
ENSG00000116604	ENSG00000134308	1	3	3
ENSG00000162924	ENSG00000173039	5	4	6
ENSG00000141867	ENSG00000276966	3	5	6
ENSG00000141867	ENSG00000276180	3	5	6
ENSG00000141867	ENSG00000278637	3	5	6
ENSG00000087074	ENSG00000118058	1	2	2
ENSG00000064961	ENSG00000090889	1	2	2
ENSG00000171867	ENSG00000196363	1	2	2
ENSG00000099381	ENSG00000196363	8	5	8
ENSG00000167548	ENSG00000196363	9	4	9
ENSG00000147889	ENSG00000168564	2	2	2
ENSG00000130396	ENSG00000182580	1	2	2
ENSG00000076864	ENSG00000130396	1	2	2
ENSG00000165280	ENSG00000169696	8	4	9
ENSG00000066336	ENSG00000137265	2	2	2
ENSG00000130396	ENSG00000186716	2	3	4
ENSG00000108518	ENSG00000130396	1	2	2
ENSG00000089639	ENSG00000164949	1	2	2
ENSG00000066135	ENSG00000274618	2	4	5
ENSG00000066135	ENSG00000197238	2	4	5
ENSG00000130396	ENSG00000174775	2	2	2
ENSG00000066135	ENSG00000197837	2	4	5
ENSG00000116954	ENSG00000198793	3	2	3
ENSG00000118058	ENSG00000196363	10	5	10
ENSG00000141867	ENSG00000275126	3	5	6
ENSG00000110395	ENSG00000198087	10	7	14
ENSG00000168118	ENSG00000198087	1	2	2
ENSG00000118058	ENSG00000118058	6	5	8
ENSG00000118058	ENSG00000119335	1	2	2
ENSG00000150991	ENSG00000198087	1	2	2
