ensembl_gene_id_a	ensembl_gene_id_b	n_publications	n_methods	n_evidences
ENSG00000083123	ENSG00000248098	4	1	4
ENSG00000172301	ENSG00000270882	1	2	2
ENSG00000078061	ENSG00000104980	2	1	2
ENSG00000108262	ENSG00000186472	1	2	2
ENSG00000087191	ENSG00000108061	1	2	2
ENSG00000086758	ENSG00000108061	2	3	3
ENSG00000087338	ENSG00000236362	1	2	2
ENSG00000141644	ENSG00000197386	1	2	2
ENSG00000087338	ENSG00000215269	1	2	2
ENSG00000078043	ENSG00000141644	1	2	2
ENSG00000033800	ENSG00000141644	2	4	4
ENSG00000163848	ENSG00000177469	1	2	2
ENSG00000172301	ENSG00000278637	1	2	2
ENSG00000172301	ENSG00000276180	1	2	2
ENSG00000112658	ENSG00000118217	1	2	2
ENSG00000172301	ENSG00000276966	1	2	2
ENSG00000172301	ENSG00000277157	1	2	2
ENSG00000001626	ENSG00000109062	9	5	10
ENSG00000001626	ENSG00000104783	1	3	3
ENSG00000118217	ENSG00000118217	4	4	4
ENSG00000001626	ENSG00000170421	1	3	3
ENSG00000172301	ENSG00000273542	1	2	2
ENSG00000172301	ENSG00000270276	1	2	2
ENSG00000064393	ENSG00000196470	4	4	8
ENSG00000112038	ENSG00000121022	1	3	3
ENSG00000168334	ENSG00000183091	1	2	2
ENSG00000055130	ENSG00000111530	23	5	24
ENSG00000130816	ENSG00000276043	12	6	15
ENSG00000121067	ENSG00000204209	4	4	5
ENSG00000168148	ENSG00000276043	2	2	4
ENSG00000158169	ENSG00000166598	2	3	4
ENSG00000078900	ENSG00000204209	2	3	4
ENSG00000154582	ENSG00000159479	1	2	2
ENSG00000197956	ENSG00000197956	2	2	2
ENSG00000127948	ENSG00000158169	1	2	2
ENSG00000135679	ENSG00000198625	45	12	55
ENSG00000135679	ENSG00000173991	2	3	3
ENSG00000121022	ENSG00000168090	7	5	8
ENSG00000203811	ENSG00000276043	3	2	3
ENSG00000153707	ENSG00000170873	1	2	2
ENSG00000137672	ENSG00000137672	1	2	2
ENSG00000169057	ENSG00000203852	2	2	2
ENSG00000169057	ENSG00000203811	2	2	2
ENSG00000169057	ENSG00000183598	2	2	2
ENSG00000187555	ENSG00000276043	8	5	10
ENSG00000132383	ENSG00000197299	8	4	8
ENSG00000183598	ENSG00000276043	3	2	3
ENSG00000085224	ENSG00000203852	2	1	2
ENSG00000085224	ENSG00000183598	2	1	2
ENSG00000168496	ENSG00000197299	2	3	4
ENSG00000203852	ENSG00000276043	3	2	3
ENSG00000075891	ENSG00000157212	1	2	2
ENSG00000076242	ENSG00000197299	6	5	10
ENSG00000100299	ENSG00000100299	1	2	2
ENSG00000158169	ENSG00000187741	26	3	26
ENSG00000014138	ENSG00000143799	1	2	2
ENSG00000085224	ENSG00000203811	2	1	2
ENSG00000078900	ENSG00000135679	12	6	13
ENSG00000036672	ENSG00000135679	1	2	2
ENSG00000160307	ENSG00000197956	2	3	4
ENSG00000112033	ENSG00000141027	4	3	4
ENSG00000113916	ENSG00000183337	6	5	8
ENSG00000075914	ENSG00000171311	4	4	5
ENSG00000136634	ENSG00000136634	2	2	2
ENSG00000047932	ENSG00000213199	1	2	2
ENSG00000104863	ENSG00000213199	1	2	2
ENSG00000139687	ENSG00000139687	2	3	3
ENSG00000171311	ENSG00000223496	3	2	3
ENSG00000183337	ENSG00000185591	1	2	2
ENSG00000106927	ENSG00000106927	2	3	3
ENSG00000077348	ENSG00000120699	4	3	4
ENSG00000139687	ENSG00000177606	2	2	3
ENSG00000160678	ENSG00000160678	3	3	4
ENSG00000100234	ENSG00000180772	1	3	3
ENSG00000132155	ENSG00000139687	5	5	7
ENSG00000126562	ENSG00000146021	10	4	11
ENSG00000135744	ENSG00000159640	3	2	3
ENSG00000154764	ENSG00000156076	2	1	2
ENSG00000183337	ENSG00000185619	2	2	2
ENSG00000185624	ENSG00000185624	1	2	2
ENSG00000115661	ENSG00000124357	1	2	2
ENSG00000103363	ENSG00000159479	1	2	2
ENSG00000135679	ENSG00000228716	1	3	3
ENSG00000119185	ENSG00000150093	3	2	3
ENSG00000004487	ENSG00000203852	2	2	2
ENSG00000004487	ENSG00000203811	2	2	2
ENSG00000004487	ENSG00000183598	2	2	2
ENSG00000136068	ENSG00000150093	1	2	2
ENSG00000074695	ENSG00000180398	2	2	2
ENSG00000091831	ENSG00000135679	4	3	5
ENSG00000135679	ENSG00000160307	1	3	3
