	ensembl_gene_id_a	ensembl_gene_id_b	n_publications	n_methods	n_evidences	date
ENSG00000124635_ENSG00000162692	ENSG00000124635	ENSG00000162692	1	2	2	2009-09-08
ENSG00000111716_ENSG00000162692	ENSG00000111716	ENSG00000162692	2	2	3	2009-09-08
ENSG00000162692_ENSG00000182718	ENSG00000162692	ENSG00000182718	2	2	3	2009-09-08
ENSG00000014216_ENSG00000162692	ENSG00000014216	ENSG00000162692	2	2	2	2012-07-01
ENSG00000162692_ENSG00000196230	ENSG00000162692	ENSG00000196230	2	2	2	2012-07-01
ENSG00000108518_ENSG00000162692	ENSG00000108518	ENSG00000162692	2	2	2	2012-07-01
ENSG00000162692_ENSG00000198931	ENSG00000162692	ENSG00000198931	2	2	2	2012-07-01
ENSG00000136628_ENSG00000162692	ENSG00000136628	ENSG00000162692	2	2	2	2012-07-01
ENSG00000080824_ENSG00000162692	ENSG00000080824	ENSG00000162692	2	2	2	2012-07-01
ENSG00000092199_ENSG00000162692	ENSG00000092199	ENSG00000162692	2	2	2	2012-07-01
ENSG00000096384_ENSG00000162692	ENSG00000096384	ENSG00000162692	2	2	2	2012-07-01
ENSG00000070669_ENSG00000162692	ENSG00000070669	ENSG00000162692	2	2	2	2012-07-01
ENSG00000104852_ENSG00000162692	ENSG00000104852	ENSG00000162692	2	2	3	2009-09-08
ENSG00000026025_ENSG00000162692	ENSG00000026025	ENSG00000162692	2	2	2	2012-07-01
ENSG00000162692_ENSG00000171345	ENSG00000162692	ENSG00000171345	2	2	2	2012-07-01
ENSG00000162692_ENSG00000168028	ENSG00000162692	ENSG00000168028	2	2	2	2012-07-01
ENSG00000084207_ENSG00000162692	ENSG00000084207	ENSG00000162692	2	2	2	2012-07-01
ENSG00000100097_ENSG00000162692	ENSG00000100097	ENSG00000162692	2	2	3	2009-09-08
ENSG00000122705_ENSG00000162692	ENSG00000122705	ENSG00000162692	2	2	2	2012-07-01
ENSG00000135486_ENSG00000162692	ENSG00000135486	ENSG00000162692	2	2	2	2012-07-01
ENSG00000131876_ENSG00000162692	ENSG00000131876	ENSG00000162692	2	2	3	2009-09-08
ENSG00000143799_ENSG00000162692	ENSG00000143799	ENSG00000162692	2	2	2	2012-07-01
ENSG00000144381_ENSG00000162692	ENSG00000144381	ENSG00000162692	2	2	2	2012-07-01
ENSG00000109971_ENSG00000162692	ENSG00000109971	ENSG00000162692	2	2	2	2012-07-01
ENSG00000117394_ENSG00000162692	ENSG00000117394	ENSG00000162692	2	2	3	2009-09-08
ENSG00000162692_ENSG00000198900	ENSG00000162692	ENSG00000198900	2	2	3	2009-09-08
ENSG00000131747_ENSG00000162692	ENSG00000131747	ENSG00000162692	2	2	2	2012-07-01
ENSG00000100714_ENSG00000162692	ENSG00000100714	ENSG00000162692	2	2	2	2012-07-01
ENSG00000070756_ENSG00000162692	ENSG00000070756	ENSG00000162692	2	2	2	2012-07-01
ENSG00000162692_ENSG00000198336	ENSG00000162692	ENSG00000198336	2	2	3	2009-09-08
ENSG00000162692_ENSG00000196419	ENSG00000162692	ENSG00000196419	2	2	2	2012-07-01
ENSG00000079246_ENSG00000162692	ENSG00000079246	ENSG00000162692	2	2	2	2012-07-01
ENSG00000115232_ENSG00000162692	ENSG00000115232	ENSG00000162692	2	2	4	2009-09-08
ENSG00000162692_ENSG00000167658	ENSG00000162692	ENSG00000167658	2	2	2	2012-07-01
ENSG00000162692_ENSG00000186395	ENSG00000162692	ENSG00000186395	2	2	3	2009-09-08
ENSG00000162692_ENSG00000240972	ENSG00000162692	ENSG00000240972	2	2	2	2012-07-01
ENSG00000104824_ENSG00000162692	ENSG00000104824	ENSG00000162692	2	2	2	2012-07-01
ENSG00000115866_ENSG00000162692	ENSG00000115866	ENSG00000162692	2	2	2	2012-07-01
ENSG00000128340_ENSG00000162692	ENSG00000128340	ENSG00000162692	2	2	2	2012-07-01
ENSG00000140988_ENSG00000162692	ENSG00000140988	ENSG00000162692	2	2	3	2009-09-08
ENSG00000162692_ENSG00000184357	ENSG00000162692	ENSG00000184357	2	2	3	2009-09-08
ENSG00000117632_ENSG00000162692	ENSG00000117632	ENSG00000162692	2	2	2	2012-07-01
ENSG00000108654_ENSG00000162692	ENSG00000108654	ENSG00000162692	2	2	2	2012-07-01
ENSG00000120438_ENSG00000162692	ENSG00000120438	ENSG00000162692	2	2	2	2012-07-01
ENSG00000147604_ENSG00000162692	ENSG00000147604	ENSG00000162692	2	2	2	2012-07-01
ENSG00000035403_ENSG00000162692	ENSG00000035403	ENSG00000162692	2	2	3	2009-09-08
ENSG00000162692_ENSG00000265681	ENSG00000162692	ENSG00000265681	2	2	3	2009-09-08
ENSG00000162692_ENSG00000180198	ENSG00000162692	ENSG00000180198	2	2	3	2009-09-08
ENSG00000162692_ENSG00000162692	ENSG00000162692	ENSG00000162692	2	1	2	2012-07-01
ENSG00000108671_ENSG00000162409	ENSG00000108671	ENSG00000162409	1	2	2	2009-12-01
ENSG00000131791_ENSG00000162409	ENSG00000131791	ENSG00000162409	4	3	4	2009-12-01
ENSG00000012048_ENSG00000162409	ENSG00000012048	ENSG00000162409	1	2	2	2014-09-01
ENSG00000162409_ENSG00000181929	ENSG00000162409	ENSG00000181929	4	3	4	2006-11-24
ENSG00000108671_ENSG00000114316	ENSG00000108671	ENSG00000114316	1	2	2	2012-10-26
ENSG00000114316_ENSG00000132109	ENSG00000114316	ENSG00000132109	4	2	4	2006-02-17
ENSG00000114316_ENSG00000114316	ENSG00000114316	ENSG00000114316	3	4	5	2011-11-04
ENSG00000108671_ENSG00000198890	ENSG00000108671	ENSG00000198890	1	2	2	2013-04-01
ENSG00000163879_ENSG00000198890	ENSG00000163879	ENSG00000198890	1	2	2	2013-04-01
ENSG00000120693_ENSG00000198890	ENSG00000120693	ENSG00000198890	1	2	2	2013-04-01
ENSG00000089127_ENSG00000198890	ENSG00000089127	ENSG00000198890	1	2	2	2013-04-01
ENSG00000137309_ENSG00000198890	ENSG00000137309	ENSG00000198890	2	4	4	2006-02-17
ENSG00000101265_ENSG00000198890	ENSG00000101265	ENSG00000198890	1	2	2	2013-04-01
ENSG00000149948_ENSG00000198890	ENSG00000149948	ENSG00000198890	1	2	2	2006-02-17
ENSG00000174738_ENSG00000198890	ENSG00000174738	ENSG00000198890	1	2	2	2013-04-01
ENSG00000171060_ENSG00000198890	ENSG00000171060	ENSG00000198890	1	2	2	2013-04-01
ENSG00000180628_ENSG00000198890	ENSG00000180628	ENSG00000198890	1	2	2	2013-04-01
ENSG00000172673_ENSG00000198890	ENSG00000172673	ENSG00000198890	1	2	2	2013-04-01
ENSG00000138780_ENSG00000198890	ENSG00000138780	ENSG00000198890	1	2	2	2013-04-01
ENSG00000158055_ENSG00000198890	ENSG00000158055	ENSG00000198890	1	2	2	2013-04-01
ENSG00000171621_ENSG00000198890	ENSG00000171621	ENSG00000198890	1	2	2	2013-04-01
ENSG00000103423_ENSG00000198890	ENSG00000103423	ENSG00000198890	1	2	2	2013-04-01
ENSG00000159210_ENSG00000198890	ENSG00000159210	ENSG00000198890	1	2	2	2013-04-01
ENSG00000138131_ENSG00000198890	ENSG00000138131	ENSG00000198890	1	2	2	2013-04-01
ENSG00000110801_ENSG00000135486	ENSG00000110801	ENSG00000135486	2	3	3	2014-06-01
ENSG00000135486_ENSG00000213341	ENSG00000135486	ENSG00000213341	1	2	2	2014-06-01
ENSG00000135486_ENSG00000135486	ENSG00000135486	ENSG00000135486	1	2	2	2000-05-05
ENSG00000182247_ENSG00000239305	ENSG00000182247	ENSG00000239305	2	1	2	2014-12-01
ENSG00000101871_ENSG00000182247	ENSG00000101871	ENSG00000182247	2	2	2	2011-03-01
ENSG00000112130_ENSG00000182247	ENSG00000112130	ENSG00000182247	3	3	4	2001-05-01
ENSG00000012048_ENSG00000182247	ENSG00000012048	ENSG00000182247	3	3	5	2009-10-01
ENSG00000063978_ENSG00000182247	ENSG00000063978	ENSG00000182247	2	2	2	2015-07-03
ENSG00000125845_ENSG00000138696	ENSG00000125845	ENSG00000138696	2	2	2	2009-04-08
ENSG00000125845_ENSG00000125845	ENSG00000125845	ENSG00000125845	2	2	2	2013-01-01
ENSG00000125965_ENSG00000138696	ENSG00000125965	ENSG00000138696	2	3	3	2009-04-08
ENSG00000107779_ENSG00000125965	ENSG00000107779	ENSG00000125965	2	2	2	2009-04-08
ENSG00000123191_ENSG00000177556	ENSG00000123191	ENSG00000177556	5	3	6	1999-10-01
ENSG00000165240_ENSG00000177556	ENSG00000165240	ENSG00000177556	2	2	3	1999-10-01
ENSG00000165240_ENSG00000173221	ENSG00000165240	ENSG00000173221	1	2	2	2006-09-22
ENSG00000091831_ENSG00000133895	ENSG00000091831	ENSG00000133895	1	2	2	2006-05-01
ENSG00000091831_ENSG00000141027	ENSG00000091831	ENSG00000141027	5	3	6	2003-07-18
ENSG00000091831_ENSG00000171148	ENSG00000091831	ENSG00000171148	3	3	4	2010-09-01
ENSG00000033800_ENSG00000091831	ENSG00000033800	ENSG00000091831	2	2	2	2004-11-01
ENSG00000091831_ENSG00000116752	ENSG00000091831	ENSG00000116752	1	2	2	2005-03-11
ENSG00000091831_ENSG00000091831	ENSG00000091831	ENSG00000091831	9	6	10	2003-04-01
ENSG00000117748_ENSG00000133895	ENSG00000117748	ENSG00000133895	1	5	5	2003-01-01
ENSG00000115414_ENSG00000117748	ENSG00000115414	ENSG00000117748	1	2	2	2009-09-08
ENSG00000111640_ENSG00000117748	ENSG00000111640	ENSG00000117748	2	3	3	2005-09-23
ENSG00000076248_ENSG00000117748	ENSG00000076248	ENSG00000117748	4	6	8	1997-03-07
ENSG00000130522_ENSG00000133895	ENSG00000130522	ENSG00000133895	4	3	6	1999-01-08
ENSG00000115840_ENSG00000130522	ENSG00000115840	ENSG00000130522	1	2	2	2010-02-24
ENSG00000130522_ENSG00000170345	ENSG00000130522	ENSG00000170345	6	6	8	2010-02-24
ENSG00000130522_ENSG00000169083	ENSG00000130522	ENSG00000169083	1	2	2	2014-05-01
ENSG00000141582_ENSG00000175029	ENSG00000141582	ENSG00000175029	1	2	2	1999-01-01
ENSG00000087074_ENSG00000175029	ENSG00000087074	ENSG00000175029	1	2	2	2011-10-11
ENSG00000102349_ENSG00000175029	ENSG00000102349	ENSG00000175029	1	2	2	2000-05-01
ENSG00000175029_ENSG00000224470	ENSG00000175029	ENSG00000224470	1	2	2	2006-05-19
ENSG00000069399_ENSG00000175029	ENSG00000069399	ENSG00000175029	2	3	3	2011-10-11
ENSG00000110693_ENSG00000175029	ENSG00000110693	ENSG00000175029	1	2	2	2001-08-15
ENSG00000147889_ENSG00000175029	ENSG00000147889	ENSG00000175029	1	2	2	2006-03-01
ENSG00000134480_ENSG00000175029	ENSG00000134480	ENSG00000175029	1	3	3	2011-10-11
ENSG00000175029_ENSG00000175029	ENSG00000175029	ENSG00000175029	2	2	2	2009-09-15
ENSG00000132475_ENSG00000141582	ENSG00000132475	ENSG00000141582	2	2	2	2015-10-22
ENSG00000141582_ENSG00000163041	ENSG00000141582	ENSG00000163041	2	2	2	2015-10-22
ENSG00000132475_ENSG00000171843	ENSG00000132475	ENSG00000171843	1	2	2	2014-10-23
ENSG00000163041_ENSG00000171843	ENSG00000163041	ENSG00000171843	1	2	2	2014-10-23
ENSG00000094916_ENSG00000132475	ENSG00000094916	ENSG00000132475	2	3	3	2009-11-01
ENSG00000094916_ENSG00000163041	ENSG00000094916	ENSG00000163041	2	3	3	2009-11-01
ENSG00000085224_ENSG00000132475	ENSG00000085224	ENSG00000132475	6	3	7	2015-06-02
ENSG00000085224_ENSG00000163041	ENSG00000085224	ENSG00000163041	6	3	7	2015-06-02
ENSG00000141582_ENSG00000182568	ENSG00000141582	ENSG00000182568	2	1	2	2010-06-01
ENSG00000033800_ENSG00000182568	ENSG00000033800	ENSG00000182568	2	3	4	2008-06-27
ENSG00000168036_ENSG00000182568	ENSG00000168036	ENSG00000182568	1	4	4	2010-01-26
ENSG00000005075_ENSG00000182568	ENSG00000005075	ENSG00000182568	1	2	2	2002-06-01
ENSG00000116030_ENSG00000182568	ENSG00000116030	ENSG00000182568	1	2	2	2008-06-27
ENSG00000103275_ENSG00000182568	ENSG00000103275	ENSG00000182568	3	2	3	2008-06-27
ENSG00000141582_ENSG00000204227	ENSG00000141582	ENSG00000204227	5	6	6	1997-07-01
ENSG00000168283_ENSG00000204227	ENSG00000168283	ENSG00000204227	13	7	15	1999-01-01
ENSG00000204227_ENSG00000277258	ENSG00000204227	ENSG00000277258	6	4	7	2012-07-01
ENSG00000072401_ENSG00000204227	ENSG00000072401	ENSG00000204227	2	2	2	2009-12-01
ENSG00000204227_ENSG00000204227	ENSG00000204227	ENSG00000204227	2	3	3	1999-01-01
ENSG00000141582_ENSG00000159692	ENSG00000141582	ENSG00000159692	6	4	6	2001-09-01
ENSG00000128573_ENSG00000159692	ENSG00000128573	ENSG00000159692	2	2	3	2004-01-01
ENSG00000159692_ENSG00000169554	ENSG00000159692	ENSG00000169554	3	2	3	2014-04-11
ENSG00000077080_ENSG00000159692	ENSG00000077080	ENSG00000159692	1	2	2	2003-02-07
ENSG00000101746_ENSG00000159692	ENSG00000101746	ENSG00000159692	2	2	2	2015-07-16
ENSG00000159692_ENSG00000196628	ENSG00000159692	ENSG00000196628	2	1	2	2014-04-11
ENSG00000159692_ENSG00000180530	ENSG00000159692	ENSG00000180530	3	3	3	2014-04-11
ENSG00000159692_ENSG00000175029	ENSG00000159692	ENSG00000175029	5	3	5	2011-10-11
ENSG00000159692_ENSG00000159692	ENSG00000159692	ENSG00000159692	3	2	3	2011-10-11
ENSG00000181222_ENSG00000196235	ENSG00000181222	ENSG00000196235	7	5	9	1999-03-19
ENSG00000113649_ENSG00000181222	ENSG00000113649	ENSG00000181222	2	2	3	2000-08-01
ENSG00000108469_ENSG00000181222	ENSG00000108469	ENSG00000181222	3	4	5	2008-06-24
ENSG00000181222_ENSG00000187735	ENSG00000181222	ENSG00000187735	6	4	7	2003-08-08
ENSG00000196235_ENSG00000196262	ENSG00000196235	ENSG00000196262	1	2	2	2005-09-23
ENSG00000132646_ENSG00000196262	ENSG00000132646	ENSG00000196262	1	2	2	2010-10-22
ENSG00000002586_ENSG00000196262	ENSG00000002586	ENSG00000196262	1	2	2	2004-09-01
ENSG00000162692_ENSG00000196262	ENSG00000162692	ENSG00000196262	2	2	2	2012-07-01
ENSG00000174405_ENSG00000196262	ENSG00000174405	ENSG00000196262	1	2	2	2012-09-18
ENSG00000196235_ENSG00000213246	ENSG00000196235	ENSG00000213246	4	4	6	1999-03-19
ENSG00000127445_ENSG00000196235	ENSG00000127445	ENSG00000196235	2	3	3	2001-09-28
ENSG00000127445_ENSG00000141510	ENSG00000127445	ENSG00000141510	5	6	9	2011-09-06
ENSG00000067225_ENSG00000127445	ENSG00000067225	ENSG00000127445	2	2	2	2011-09-06
ENSG00000004897_ENSG00000127445	ENSG00000004897	ENSG00000127445	2	2	3	1998-03-01
ENSG00000127445_ENSG00000166483	ENSG00000127445	ENSG00000166483	1	2	2	1998-03-01
ENSG00000127445_ENSG00000158402	ENSG00000127445	ENSG00000158402	2	2	3	1998-03-01
ENSG00000107968_ENSG00000127445	ENSG00000107968	ENSG00000127445	1	5	5	2015-06-01
ENSG00000127445_ENSG00000148400	ENSG00000127445	ENSG00000148400	1	3	3	2009-02-01
ENSG00000127445_ENSG00000166851	ENSG00000127445	ENSG00000166851	3	4	5	1998-03-01
ENSG00000127445_ENSG00000166949	ENSG00000127445	ENSG00000166949	3	3	3	2011-10-11
ENSG00000079263_ENSG00000127445	ENSG00000079263	ENSG00000127445	1	2	2	2014-01-01
ENSG00000130699_ENSG00000185591	ENSG00000130699	ENSG00000185591	2	2	2	2002-06-21
ENSG00000141027_ENSG00000185591	ENSG00000141027	ENSG00000185591	1	2	2	2005-07-29
ENSG00000137203_ENSG00000185591	ENSG00000137203	ENSG00000185591	3	3	4	2008-12-01
ENSG00000181163_ENSG00000185591	ENSG00000181163	ENSG00000185591	1	2	2	2008-12-01
ENSG00000130699_ENSG00000197386	ENSG00000130699	ENSG00000197386	1	2	2	2002-06-21
ENSG00000127946_ENSG00000197386	ENSG00000127946	ENSG00000197386	5	3	7	1997-03-01
ENSG00000135148_ENSG00000197386	ENSG00000135148	ENSG00000197386	2	2	2	2013-02-01
ENSG00000163879_ENSG00000197386	ENSG00000163879	ENSG00000197386	2	1	2	2007-05-11
ENSG00000113649_ENSG00000197386	ENSG00000113649	ENSG00000197386	3	2	3	2004-09-24
ENSG00000141027_ENSG00000197386	ENSG00000141027	ENSG00000197386	2	1	2	2007-05-11
ENSG00000196504_ENSG00000197386	ENSG00000196504	ENSG00000197386	3	3	4	2006-12-01
ENSG00000147526_ENSG00000197386	ENSG00000147526	ENSG00000197386	2	2	2	2013-02-01
ENSG00000070061_ENSG00000197386	ENSG00000070061	ENSG00000197386	1	2	2	2004-09-24
ENSG00000129071_ENSG00000197386	ENSG00000129071	ENSG00000197386	1	2	2	2013-02-01
ENSG00000087086_ENSG00000197386	ENSG00000087086	ENSG00000197386	1	2	2	2013-02-01
ENSG00000111640_ENSG00000197386	ENSG00000111640	ENSG00000197386	2	2	2	2007-05-11
ENSG00000185591_ENSG00000197386	ENSG00000185591	ENSG00000197386	2	3	4	2002-06-21
ENSG00000196419_ENSG00000197386	ENSG00000196419	ENSG00000197386	1	2	2	2004-09-24
ENSG00000145675_ENSG00000197386	ENSG00000145675	ENSG00000197386	2	2	2	2013-02-01
ENSG00000070087_ENSG00000197386	ENSG00000070087	ENSG00000197386	1	2	2	2004-09-24
ENSG00000168036_ENSG00000197386	ENSG00000168036	ENSG00000197386	2	2	2	2010-07-21
ENSG00000145335_ENSG00000197386	ENSG00000145335	ENSG00000197386	1	2	2	2012-01-02
ENSG00000197386_ENSG00000197386	ENSG00000197386	ENSG00000197386	4	5	5	2012-01-02
ENSG00000094916_ENSG00000130699	ENSG00000094916	ENSG00000130699	1	2	2	2002-04-30
ENSG00000094916_ENSG00000101945	ENSG00000094916	ENSG00000101945	3	3	3	2010-07-01
ENSG00000094916_ENSG00000196419	ENSG00000094916	ENSG00000196419	1	2	2	2001-03-16
ENSG00000094916_ENSG00000184357	ENSG00000094916	ENSG00000184357	1	2	2	2006-06-09
ENSG00000067066_ENSG00000094916	ENSG00000067066	ENSG00000094916	3	3	4	1998-06-23
ENSG00000120656_ENSG00000130699	ENSG00000120656	ENSG00000130699	3	3	3	2002-11-22
ENSG00000130699_ENSG00000137413	ENSG00000130699	ENSG00000137413	2	2	2	2015-07-16
ENSG00000119760_ENSG00000137413	ENSG00000119760	ENSG00000137413	1	2	2	2007-03-21
ENSG00000160049_ENSG00000164305	ENSG00000160049	ENSG00000164305	2	2	2	2014-12-05
ENSG00000120868_ENSG00000164305	ENSG00000120868	ENSG00000164305	2	3	3	2011-08-10
ENSG00000003402_ENSG00000164305	ENSG00000003402	ENSG00000164305	2	3	3	1997-10-14
ENSG00000164305_ENSG00000180353	ENSG00000164305	ENSG00000180353	3	2	3	2014-12-05
ENSG00000124762_ENSG00000164305	ENSG00000124762	ENSG00000164305	4	2	4	2014-12-05
ENSG00000064490_ENSG00000133111	ENSG00000064490	ENSG00000133111	3	3	4	2000-06-01
ENSG00000127946_ENSG00000141367	ENSG00000127946	ENSG00000141367	4	3	4	2014-12-05
ENSG00000104365_ENSG00000141367	ENSG00000104365	ENSG00000141367	2	2	2	2014-12-05
ENSG00000141367_ENSG00000185359	ENSG00000141367	ENSG00000185359	3	3	4	2001-09-03
ENSG00000135341_ENSG00000141367	ENSG00000135341	ENSG00000141367	2	2	2	2014-12-05
ENSG00000141367_ENSG00000166747	ENSG00000141367	ENSG00000166747	3	2	3	2006-12-01
ENSG00000141367_ENSG00000183020	ENSG00000141367	ENSG00000183020	3	3	3	2006-12-01
ENSG00000115414_ENSG00000141367	ENSG00000115414	ENSG00000141367	1	2	2	2009-09-08
ENSG00000141367_ENSG00000162692	ENSG00000141367	ENSG00000162692	2	2	2	2012-07-01
ENSG00000137486_ENSG00000141367	ENSG00000137486	ENSG00000141367	3	4	4	2006-06-01
ENSG00000006125_ENSG00000141367	ENSG00000006125	ENSG00000141367	3	3	4	2006-12-01
ENSG00000114446_ENSG00000127946	ENSG00000114446	ENSG00000127946	1	2	2	2002-02-01
ENSG00000114446_ENSG00000196072	ENSG00000114446	ENSG00000196072	1	2	2	2008-03-01
ENSG00000114446_ENSG00000186908	ENSG00000114446	ENSG00000186908	1	2	2	2014-08-01
ENSG00000012048_ENSG00000104804	ENSG00000012048	ENSG00000104804	1	2	2	2012-09-18
ENSG00000012048_ENSG00000101182	ENSG00000012048	ENSG00000101182	1	3	3	2015-02-03
ENSG00000012048_ENSG00000156273	ENSG00000012048	ENSG00000156273	8	5	9	2004-05-07
ENSG00000012048_ENSG00000187741	ENSG00000012048	ENSG00000187741	2	4	4	2002-10-01
ENSG00000004487_ENSG00000012048	ENSG00000004487	ENSG00000012048	1	2	2	2012-09-18
ENSG00000012048_ENSG00000112335	ENSG00000012048	ENSG00000112335	1	2	2	2012-09-18
ENSG00000012048_ENSG00000036672	ENSG00000012048	ENSG00000036672	2	1	2	2012-12-14
ENSG00000012048_ENSG00000144028	ENSG00000012048	ENSG00000144028	1	2	2	2012-09-18
ENSG00000012048_ENSG00000205758	ENSG00000012048	ENSG00000205758	1	2	2	2012-09-18
ENSG00000012048_ENSG00000097007	ENSG00000012048	ENSG00000097007	2	4	4	2007-04-01
ENSG00000012048_ENSG00000136997	ENSG00000012048	ENSG00000136997	5	4	9	1998-10-15
ENSG00000012048_ENSG00000169083	ENSG00000012048	ENSG00000169083	2	2	3	2000-10-10
ENSG00000012048_ENSG00000171791	ENSG00000012048	ENSG00000171791	1	3	3	2011-05-15
ENSG00000012048_ENSG00000144381	ENSG00000012048	ENSG00000144381	1	2	2	2011-10-11
ENSG00000012048_ENSG00000070756	ENSG00000012048	ENSG00000070756	1	2	2	2006-08-25
ENSG00000012048_ENSG00000171223	ENSG00000012048	ENSG00000171223	3	4	5	2002-06-15
ENSG00000012048_ENSG00000130522	ENSG00000012048	ENSG00000130522	1	3	3	2002-06-15
ENSG00000012048_ENSG00000123268	ENSG00000012048	ENSG00000123268	1	3	3	2000-11-17
ENSG00000012048_ENSG00000145675	ENSG00000012048	ENSG00000145675	2	2	2	2007-06-01
ENSG00000012048_ENSG00000086061	ENSG00000012048	ENSG00000086061	2	2	2	2014-09-01
ENSG00000012048_ENSG00000106049	ENSG00000012048	ENSG00000106049	1	2	2	2012-09-18
ENSG00000012048_ENSG00000012048	ENSG00000012048	ENSG00000012048	13	6	14	1999-02-26
ENSG00000196459_ENSG00000213719	ENSG00000196459	ENSG00000213719	1	2	2	2003-04-10
ENSG00000074800_ENSG00000196459	ENSG00000074800	ENSG00000196459	2	3	3	2001-01-01
ENSG00000196459_ENSG00000196459	ENSG00000196459	ENSG00000196459	1	2	2	2010-05-14
ENSG00000057468_ENSG00000175390	ENSG00000057468	ENSG00000175390	1	2	2	2013-06-02
ENSG00000175390_ENSG00000198793	ENSG00000175390	ENSG00000198793	1	2	2	2006-04-19
ENSG00000167004_ENSG00000198793	ENSG00000167004	ENSG00000198793	1	2	2	2011-04-01
ENSG00000142208_ENSG00000198793	ENSG00000142208	ENSG00000198793	12	5	13	2001-07-03
ENSG00000115415_ENSG00000198793	ENSG00000115415	ENSG00000198793	3	2	3	2014-12-05
ENSG00000198793_ENSG00000198793	ENSG00000198793	ENSG00000198793	4	3	4	2006-09-29
ENSG00000119392_ENSG00000175390	ENSG00000119392	ENSG00000175390	2	2	2	2013-10-24
ENSG00000113569_ENSG00000119392	ENSG00000113569	ENSG00000119392	2	2	3	2004-02-01
ENSG00000119392_ENSG00000119392	ENSG00000119392	ENSG00000119392	1	4	4	2013-10-24
ENSG00000149100_ENSG00000175390	ENSG00000149100	ENSG00000175390	5	4	6	2007-06-01
ENSG00000106211_ENSG00000149100	ENSG00000106211	ENSG00000149100	1	2	2	2014-12-01
ENSG00000156804_ENSG00000175390	ENSG00000156804	ENSG00000175390	2	4	4	2008-04-23
ENSG00000129152_ENSG00000156804	ENSG00000129152	ENSG00000156804	1	3	3	2005-01-28
ENSG00000156804_ENSG00000206075	ENSG00000156804	ENSG00000206075	1	2	2	2011-11-01
ENSG00000113558_ENSG00000156804	ENSG00000113558	ENSG00000156804	2	2	2	2013-02-15
ENSG00000008128_ENSG00000175390	ENSG00000008128	ENSG00000175390	1	2	2	2003-02-14
ENSG00000008128_ENSG00000149269	ENSG00000008128	ENSG00000149269	1	2	2	2003-05-30
ENSG00000067715_ENSG00000182389	ENSG00000067715	ENSG00000182389	1	2	2	2006-03-08
ENSG00000122877_ENSG00000198373	ENSG00000122877	ENSG00000198373	1	2	2	2009-10-01
ENSG00000168447_ENSG00000198373	ENSG00000168447	ENSG00000198373	2	2	2	2002-09-01
ENSG00000111319_ENSG00000168447	ENSG00000111319	ENSG00000168447	2	4	4	2012-06-01
ENSG00000069869_ENSG00000168447	ENSG00000069869	ENSG00000168447	8	7	10	2001-03-16
ENSG00000133104_ENSG00000198373	ENSG00000133104	ENSG00000198373	2	2	2	2014-10-01
ENSG00000105355_ENSG00000133104	ENSG00000105355	ENSG00000133104	2	3	3	2009-03-23
ENSG00000085832_ENSG00000133104	ENSG00000085832	ENSG00000133104	1	2	2	2005-09-09
ENSG00000197070_ENSG00000198373	ENSG00000197070	ENSG00000198373	4	2	4	2012-01-01
ENSG00000169252_ENSG00000197070	ENSG00000169252	ENSG00000197070	2	2	2	2014-03-21
ENSG00000069869_ENSG00000197070	ENSG00000069869	ENSG00000197070	2	2	2	2015-07-16
ENSG00000187555_ENSG00000198373	ENSG00000187555	ENSG00000198373	2	2	2	2014-10-01
ENSG00000187555_ENSG00000198625	ENSG00000187555	ENSG00000198625	3	4	6	2010-10-08
ENSG00000141510_ENSG00000187555	ENSG00000141510	ENSG00000187555	19	11	27	2006-02-01
ENSG00000170315_ENSG00000187555	ENSG00000170315	ENSG00000187555	2	1	2	2016-08-02
ENSG00000187555_ENSG00000204713	ENSG00000187555	ENSG00000204713	3	3	3	2013-12-01
ENSG00000172005_ENSG00000187555	ENSG00000172005	ENSG00000187555	1	2	2	2011-10-11
ENSG00000130816_ENSG00000187555	ENSG00000130816	ENSG00000187555	7	5	11	2015-05-11
ENSG00000120802_ENSG00000187555	ENSG00000120802	ENSG00000187555	2	2	2	2015-10-22
ENSG00000166949_ENSG00000187555	ENSG00000166949	ENSG00000187555	2	2	2	2011-10-11
ENSG00000135679_ENSG00000187555	ENSG00000135679	ENSG00000187555	15	8	22	2006-02-01
ENSG00000187147_ENSG00000187555	ENSG00000187147	ENSG00000187555	3	2	3	2009-07-23
ENSG00000183337_ENSG00000187555	ENSG00000183337	ENSG00000187555	3	3	3	2015-10-22
ENSG00000144824_ENSG00000187555	ENSG00000144824	ENSG00000187555	2	2	2	2015-10-22
ENSG00000113369_ENSG00000198373	ENSG00000113369	ENSG00000198373	2	3	3	2012-01-01
ENSG00000113369_ENSG00000169252	ENSG00000113369	ENSG00000169252	6	4	7	2016-07-08
ENSG00000069869_ENSG00000113369	ENSG00000069869	ENSG00000113369	3	4	4	2014-02-21
ENSG00000097046_ENSG00000164815	ENSG00000097046	ENSG00000164815	1	2	2	2004-07-02
ENSG00000097046_ENSG00000135446	ENSG00000097046	ENSG00000135446	1	2	2	2004-07-02
ENSG00000101843_ENSG00000135446	ENSG00000101843	ENSG00000135446	2	4	4	2002-03-26
ENSG00000135446_ENSG00000136997	ENSG00000135446	ENSG00000136997	2	2	2	2011-11-15
ENSG00000096384_ENSG00000135446	ENSG00000096384	ENSG00000135446	3	4	4	2012-08-31
