	ensembl_gene_id_a	ensembl_gene_id_b	n_publications	n_methods	n_evidences	date
ENSG00000111057_ENSG00000269335	ENSG00000111057	ENSG00000269335	1	2	2	2011-10-11
ENSG00000170421_ENSG00000269335	ENSG00000170421	ENSG00000269335	2	3	3	2011-10-11
ENSG00000104327_ENSG00000269335	ENSG00000104327	ENSG00000269335	1	3	3	2010-01-20
ENSG00000182866_ENSG00000269335	ENSG00000182866	ENSG00000269335	1	2	2	2010-01-20
ENSG00000189060_ENSG00000269335	ENSG00000189060	ENSG00000269335	1	2	2	2010-01-20
ENSG00000165731_ENSG00000269335	ENSG00000165731	ENSG00000269335	1	2	2	2010-01-20
ENSG00000150991_ENSG00000269335	ENSG00000150991	ENSG00000269335	28	6	32	2008-06-12
ENSG00000133112_ENSG00000269335	ENSG00000133112	ENSG00000269335	1	2	2	2010-01-20
ENSG00000067715_ENSG00000269335	ENSG00000067715	ENSG00000269335	1	3	3	2010-01-20
ENSG00000118503_ENSG00000269335	ENSG00000118503	ENSG00000269335	6	6	8	2000-03-01
ENSG00000123374_ENSG00000269335	ENSG00000123374	ENSG00000269335	1	4	4	2010-01-20
ENSG00000100567_ENSG00000269335	ENSG00000100567	ENSG00000269335	1	2	2	2010-01-20
ENSG00000142208_ENSG00000269335	ENSG00000142208	ENSG00000269335	2	3	3	2010-01-20
ENSG00000125388_ENSG00000269335	ENSG00000125388	ENSG00000269335	1	2	2	2010-01-20
ENSG00000166508_ENSG00000269335	ENSG00000166508	ENSG00000269335	2	3	3	2010-01-20
ENSG00000037280_ENSG00000269335	ENSG00000037280	ENSG00000269335	1	2	2	2010-01-20
ENSG00000122025_ENSG00000269335	ENSG00000122025	ENSG00000269335	1	2	2	2010-01-20
ENSG00000188739_ENSG00000269335	ENSG00000188739	ENSG00000269335	1	2	2	2010-01-20
ENSG00000082701_ENSG00000269335	ENSG00000082701	ENSG00000269335	2	3	3	2016-12-08
ENSG00000105639_ENSG00000269335	ENSG00000105639	ENSG00000269335	1	2	2	2010-01-20
ENSG00000196730_ENSG00000269335	ENSG00000196730	ENSG00000269335	1	2	2	2010-01-20
ENSG00000116106_ENSG00000269335	ENSG00000116106	ENSG00000269335	1	2	2	2010-01-20
ENSG00000128989_ENSG00000269335	ENSG00000128989	ENSG00000269335	1	2	2	2010-01-20
ENSG00000196363_ENSG00000269335	ENSG00000196363	ENSG00000269335	1	2	2	2010-01-20
ENSG00000229117_ENSG00000269335	ENSG00000229117	ENSG00000269335	1	2	2	2010-01-20
ENSG00000215375_ENSG00000269335	ENSG00000215375	ENSG00000269335	1	2	2	2010-01-20
ENSG00000120156_ENSG00000269335	ENSG00000120156	ENSG00000269335	1	2	2	2010-01-20
ENSG00000092445_ENSG00000269335	ENSG00000092445	ENSG00000269335	1	2	2	2010-01-20
ENSG00000113263_ENSG00000269335	ENSG00000113263	ENSG00000269335	1	2	2	2010-01-20
ENSG00000132016_ENSG00000269335	ENSG00000132016	ENSG00000269335	1	2	2	2010-01-20
ENSG00000136940_ENSG00000269335	ENSG00000136940	ENSG00000269335	1	2	2	2010-01-20
ENSG00000139436_ENSG00000269335	ENSG00000139436	ENSG00000269335	1	3	3	2011-10-11
ENSG00000145901_ENSG00000269335	ENSG00000145901	ENSG00000269335	3	2	3	2011-10-11
ENSG00000182196_ENSG00000269335	ENSG00000182196	ENSG00000269335	1	2	2	2010-01-20
ENSG00000144233_ENSG00000269335	ENSG00000144233	ENSG00000269335	1	2	2	2010-01-20
ENSG00000173272_ENSG00000269335	ENSG00000173272	ENSG00000269335	1	2	2	2010-01-20
ENSG00000065328_ENSG00000269335	ENSG00000065328	ENSG00000269335	1	2	2	2010-01-20
ENSG00000198435_ENSG00000269335	ENSG00000198435	ENSG00000269335	1	2	2	2010-01-20
ENSG00000182013_ENSG00000269335	ENSG00000182013	ENSG00000269335	1	2	2	2010-01-20
ENSG00000176896_ENSG00000269335	ENSG00000176896	ENSG00000269335	1	2	2	2010-01-20
ENSG00000168884_ENSG00000269335	ENSG00000168884	ENSG00000269335	2	3	3	2011-10-11
ENSG00000179271_ENSG00000269335	ENSG00000179271	ENSG00000269335	1	2	2	2010-01-20
ENSG00000242220_ENSG00000269335	ENSG00000242220	ENSG00000269335	1	2	2	2010-01-20
ENSG00000146063_ENSG00000269335	ENSG00000146063	ENSG00000269335	1	2	2	2010-01-20
ENSG00000124678_ENSG00000269335	ENSG00000124678	ENSG00000269335	1	2	2	2010-01-20
ENSG00000162441_ENSG00000269335	ENSG00000162441	ENSG00000269335	1	2	2	2010-01-20
ENSG00000005339_ENSG00000269335	ENSG00000005339	ENSG00000269335	1	2	2	2004-01-30
ENSG00000136560_ENSG00000269335	ENSG00000136560	ENSG00000269335	5	3	6	2002-10-04
ENSG00000145777_ENSG00000269335	ENSG00000145777	ENSG00000269335	1	2	2	2010-01-20
ENSG00000198498_ENSG00000269335	ENSG00000198498	ENSG00000269335	1	2	2	2010-01-20
ENSG00000148572_ENSG00000269335	ENSG00000148572	ENSG00000269335	1	2	2	2010-01-20
ENSG00000151466_ENSG00000269335	ENSG00000151466	ENSG00000269335	1	2	2	2010-01-20
ENSG00000177432_ENSG00000269335	ENSG00000177432	ENSG00000269335	1	2	2	2010-01-20
ENSG00000125967_ENSG00000269335	ENSG00000125967	ENSG00000269335	1	2	2	2010-01-20
ENSG00000096063_ENSG00000269335	ENSG00000096063	ENSG00000269335	1	2	2	2010-01-20
ENSG00000230124_ENSG00000269335	ENSG00000230124	ENSG00000269335	1	2	2	2010-01-20
ENSG00000141540_ENSG00000269335	ENSG00000141540	ENSG00000269335	1	2	2	2010-01-20
ENSG00000148335_ENSG00000269335	ENSG00000148335	ENSG00000269335	1	2	2	2010-01-20
ENSG00000100065_ENSG00000269335	ENSG00000100065	ENSG00000269335	1	2	2	2004-08-13
ENSG00000010318_ENSG00000269335	ENSG00000010318	ENSG00000269335	1	2	2	2010-01-20
ENSG00000125826_ENSG00000269335	ENSG00000125826	ENSG00000269335	9	5	10	2010-01-20
ENSG00000126391_ENSG00000269335	ENSG00000126391	ENSG00000269335	1	2	2	2010-01-20
ENSG00000005175_ENSG00000269335	ENSG00000005175	ENSG00000269335	2	3	3	2010-01-20
ENSG00000163904_ENSG00000269335	ENSG00000163904	ENSG00000269335	2	5	5	2010-01-20
ENSG00000184060_ENSG00000269335	ENSG00000184060	ENSG00000269335	1	2	2	2010-01-20
ENSG00000083799_ENSG00000269335	ENSG00000083799	ENSG00000269335	7	4	9	2003-08-14
ENSG00000131943_ENSG00000269335	ENSG00000131943	ENSG00000269335	1	2	2	2010-01-20
ENSG00000176148_ENSG00000269335	ENSG00000176148	ENSG00000269335	1	2	2	2010-01-20
ENSG00000104886_ENSG00000269335	ENSG00000104886	ENSG00000269335	1	2	2	2010-01-20
ENSG00000134884_ENSG00000269335	ENSG00000134884	ENSG00000269335	1	2	2	2010-01-20
ENSG00000180891_ENSG00000269335	ENSG00000180891	ENSG00000269335	1	2	2	2010-01-20
ENSG00000145912_ENSG00000269335	ENSG00000145912	ENSG00000269335	1	2	2	2010-01-20
ENSG00000055208_ENSG00000269335	ENSG00000055208	ENSG00000269335	3	3	3	2011-10-11
ENSG00000071282_ENSG00000269335	ENSG00000071282	ENSG00000269335	1	2	2	2010-01-20
ENSG00000145979_ENSG00000269335	ENSG00000145979	ENSG00000269335	1	2	2	2010-01-20
ENSG00000102096_ENSG00000269335	ENSG00000102096	ENSG00000269335	1	2	2	2010-01-20
ENSG00000114125_ENSG00000269335	ENSG00000114125	ENSG00000269335	1	4	4	2010-01-20
ENSG00000183735_ENSG00000269335	ENSG00000183735	ENSG00000269335	5	4	6	2010-01-20
ENSG00000184640_ENSG00000269335	ENSG00000184640	ENSG00000269335	1	2	2	2010-01-20
ENSG00000198791_ENSG00000269335	ENSG00000198791	ENSG00000269335	1	2	2	2010-01-20
ENSG00000157349_ENSG00000269335	ENSG00000157349	ENSG00000269335	1	2	2	2010-01-20
ENSG00000141030_ENSG00000269335	ENSG00000141030	ENSG00000269335	1	2	2	2001-06-15
ENSG00000146963_ENSG00000269335	ENSG00000146963	ENSG00000269335	1	2	2	2010-01-20
ENSG00000265241_ENSG00000269335	ENSG00000265241	ENSG00000269335	1	2	2	2010-01-20
ENSG00000144635_ENSG00000269335	ENSG00000144635	ENSG00000269335	1	2	2	2010-01-15
ENSG00000269335_ENSG00000269335	ENSG00000269335	ENSG00000269335	12	8	15	2002-11-20
ENSG00000071205_ENSG00000087266	ENSG00000071205	ENSG00000087266	1	2	2	2015-03-26
ENSG00000087266_ENSG00000141968	ENSG00000087266	ENSG00000141968	4	6	8	2001-06-15
ENSG00000087266_ENSG00000124181	ENSG00000087266	ENSG00000124181	3	2	4	2001-06-15
ENSG00000087266_ENSG00000134308	ENSG00000087266	ENSG00000134308	1	3	3	2003-02-28
ENSG00000087266_ENSG00000111679	ENSG00000087266	ENSG00000111679	1	2	2	2006-05-01
ENSG00000087266_ENSG00000165025	ENSG00000087266	ENSG00000165025	3	3	3	2005-02-01
ENSG00000087266_ENSG00000160293	ENSG00000087266	ENSG00000160293	2	3	4	2005-02-01
ENSG00000071205_ENSG00000160447	ENSG00000071205	ENSG00000160447	1	2	2	2001-07-01
ENSG00000075711_ENSG00000185101	ENSG00000075711	ENSG00000185101	2	2	2	2014-02-18
ENSG00000075711_ENSG00000170579	ENSG00000075711	ENSG00000170579	4	4	7	1997-02-10
ENSG00000075711_ENSG00000147044	ENSG00000075711	ENSG00000147044	4	3	5	2000-12-29
ENSG00000054523_ENSG00000075711	ENSG00000054523	ENSG00000075711	2	3	3	2002-07-01
ENSG00000075711_ENSG00000182866	ENSG00000075711	ENSG00000182866	2	3	3	2014-12-05
ENSG00000075711_ENSG00000182255	ENSG00000075711	ENSG00000182255	5	3	5	1996-01-01
ENSG00000075711_ENSG00000130037	ENSG00000075711	ENSG00000130037	3	2	3	2014-02-18
ENSG00000075711_ENSG00000126934	ENSG00000075711	ENSG00000126934	1	2	2	2011-08-01
ENSG00000075711_ENSG00000151694	ENSG00000075711	ENSG00000151694	1	4	4	2003-05-15
ENSG00000075711_ENSG00000183454	ENSG00000075711	ENSG00000183454	2	2	2	2003-11-07
ENSG00000072310_ENSG00000184828	ENSG00000072310	ENSG00000184828	1	2	2	2012-04-01
ENSG00000072310_ENSG00000160789	ENSG00000072310	ENSG00000160789	2	3	3	2002-04-01
ENSG00000163874_ENSG00000178199	ENSG00000163874	ENSG00000178199	1	2	2	2015-08-21
ENSG00000163874_ENSG00000166949	ENSG00000163874	ENSG00000166949	1	2	2	2011-10-11
ENSG00000106211_ENSG00000151779	ENSG00000106211	ENSG00000151779	1	2	2	2014-12-01
ENSG00000106211_ENSG00000187867	ENSG00000106211	ENSG00000187867	1	2	2	2014-12-01
ENSG00000106211_ENSG00000274808	ENSG00000106211	ENSG00000274808	1	2	2	2014-12-01
ENSG00000106211_ENSG00000205784	ENSG00000106211	ENSG00000205784	1	2	2	2014-12-01
ENSG00000106211_ENSG00000172650	ENSG00000106211	ENSG00000172650	1	2	2	2014-12-01
ENSG00000106211_ENSG00000175265	ENSG00000106211	ENSG00000175265	1	2	2	2014-12-01
ENSG00000106211_ENSG00000196235	ENSG00000106211	ENSG00000196235	1	2	2	2014-12-01
ENSG00000106211_ENSG00000160049	ENSG00000106211	ENSG00000160049	1	3	3	2014-12-01
ENSG00000102753_ENSG00000106211	ENSG00000102753	ENSG00000106211	1	2	2	2014-12-01
ENSG00000106211_ENSG00000186448	ENSG00000106211	ENSG00000186448	1	2	2	2014-12-01
ENSG00000106211_ENSG00000118680	ENSG00000106211	ENSG00000118680	1	2	2	2014-12-01
ENSG00000082898_ENSG00000106211	ENSG00000082898	ENSG00000106211	1	2	2	2014-12-01
ENSG00000106211_ENSG00000122779	ENSG00000106211	ENSG00000122779	1	2	2	2014-12-01
ENSG00000106211_ENSG00000153140	ENSG00000106211	ENSG00000153140	1	2	2	2014-12-01
ENSG00000106211_ENSG00000116906	ENSG00000106211	ENSG00000116906	1	2	2	2014-12-01
ENSG00000106211_ENSG00000143748	ENSG00000106211	ENSG00000143748	1	2	2	2014-12-01
ENSG00000106211_ENSG00000140682	ENSG00000106211	ENSG00000140682	2	2	3	2001-10-26
ENSG00000091164_ENSG00000106211	ENSG00000091164	ENSG00000106211	1	2	2	2014-12-01
ENSG00000075151_ENSG00000106211	ENSG00000075151	ENSG00000106211	1	2	2	2014-12-01
ENSG00000079819_ENSG00000106211	ENSG00000079819	ENSG00000106211	1	2	2	2014-12-01
ENSG00000106211_ENSG00000130402	ENSG00000106211	ENSG00000130402	1	2	2	2014-12-01
ENSG00000106211_ENSG00000162104	ENSG00000106211	ENSG00000162104	1	2	2	2014-12-01
ENSG00000106211_ENSG00000124006	ENSG00000106211	ENSG00000124006	1	2	2	2014-12-01
ENSG00000106211_ENSG00000136068	ENSG00000106211	ENSG00000136068	1	2	2	2014-12-01
ENSG00000106211_ENSG00000196504	ENSG00000106211	ENSG00000196504	1	2	2	2014-12-01
ENSG00000106211_ENSG00000144028	ENSG00000106211	ENSG00000144028	1	2	2	2014-12-01
ENSG00000106211_ENSG00000151465	ENSG00000106211	ENSG00000151465	1	2	2	2014-12-01
ENSG00000106211_ENSG00000198774	ENSG00000106211	ENSG00000198774	1	2	2	2014-12-01
ENSG00000106211_ENSG00000174780	ENSG00000106211	ENSG00000174780	1	2	2	2014-12-01
ENSG00000106211_ENSG00000154174	ENSG00000106211	ENSG00000154174	1	2	2	2014-12-01
ENSG00000092203_ENSG00000106211	ENSG00000092203	ENSG00000106211	1	2	2	2014-12-01
