ad_orf_id	db_orf_id	final_score	source
100016179	13880	NA	Lit-BM-LT-17
397	56300	0	Lit-BM-LT-17
251	11800	0	Lit-BM-LT-17
2801	54233	0	Lit-BM-LT-17
100009283	10357	AA	Lit-BM-LT-17
13022	8329	NA	Lit-BM-LT-17
4528	5658	0	Lit-BM-LT-17
12224	611	0	Lit-BM-LT-17
8139	2540	0	Lit-BM-LT-17
3726	6523	NA	Lit-BM-LT-17
339	100069198	0	Lit-BM-LT-17
56335	52996	NA	Lit-BM-LT-17
2714	100080500	AA	Lit-BM-LT-17
6157	3807	0	Lit-BM-LT-17
100080500	2714	0	Lit-BM-LT-17
4543	9722	0	Lit-BM-LT-17
5228	7273	0	Lit-BM-LT-17
3907	100015198	0	Lit-BM-LT-17
7953	385	0	Lit-BM-LT-17
7515	11214	1	Lit-BM-LT-17
70513	6323	0	Lit-BM-LT-17
56919	3587	0	Lit-BM-LT-17
10726	8626	0	Lit-BM-LT-17
503	52628	0	Lit-BM-LT-17
26	2424	0	Lit-BM-LT-17
9998	56382	NA	Lit-BM-LT-17
5658	4528	0	Lit-BM-LT-17
1694	100008847	0	Lit-BM-LT-17
100069132	3250	0	Lit-BM-LT-17
11075	100005032	0	Lit-BM-LT-17
7076	14238	0	Lit-BM-LT-17
42	71311	AA	Lit-BM-LT-17
2987	5834	0	Lit-BM-LT-17
6442	6358	0	Lit-BM-LT-17
6323	6919	0	Lit-BM-LT-17
100009691	100009691	0	Lit-BM-LT-17
4558	70947	0	Lit-BM-LT-17
100000049	54233	0	Lit-BM-LT-17
80385	100009044	0	Lit-BM-LT-17
5515	2430	0	Lit-BM-LT-17
54276	5585	0	Lit-BM-LT-17
3817	13762	0	Lit-BM-LT-17
71567	14640	0	Lit-BM-LT-17
53258	2697	0	Lit-BM-LT-17
7678	9233	0	Lit-BM-LT-17
3434	56621	0	Lit-BM-LT-17
10799	55174	0	Lit-BM-LT-17
65	8024	0	Lit-BM-LT-17
56442	9270	0	Lit-BM-LT-17
6660	2219	0	Lit-BM-LT-17
100011435	26	NA	Lit-BM-LT-17
6488	56919	0	Lit-BM-LT-17
2788	2788	0	Lit-BM-LT-17
100080638	54280	0	Lit-BM-LT-17
13373	9671	0	Lit-BM-LT-17
100009262	13195	NA	Lit-BM-LT-17
8122	8536	0	Lit-BM-LT-17
72151	4032	0	Lit-BM-LT-17
54080	13160	1	Lit-BM-LT-17
53620	100080638	0	Lit-BM-LT-17
839	100015498	0	Lit-BM-LT-17
624	4996	NA	Lit-BM-LT-17
7064	4350	1	Lit-BM-LT-17
56166	2174	0	Lit-BM-LT-17
6151	4262	0	Lit-BM-LT-17
2633	7918	0	Lit-BM-LT-17
13195	100009262	0	Lit-BM-LT-17
12865	100009730	0	Lit-BM-LT-17
2261	4956	0	Lit-BM-LT-17
11972	10051	0	Lit-BM-LT-17
10618	113	0	Lit-BM-LT-17
14238	7076	0	Lit-BM-LT-17
10053	13665	0	Lit-BM-LT-17
56340	775	0	Lit-BM-LT-17
6523	3726	0	Lit-BM-LT-17
9722	4543	0	Lit-BM-LT-17
56074	4094	0	Lit-BM-LT-17
12544	12544	1	Lit-BM-LT-17
3740	5898	1	Lit-BM-LT-17
3701	6224	0	Lit-BM-LT-17
3411	5923	0	Lit-BM-LT-17
14691	3697	0	Lit-BM-LT-17
14514	5627	0	Lit-BM-LT-17
6873	11725	0	Lit-BM-LT-17
13645	3310	0	Lit-BM-LT-17
4711	4711	0	Lit-BM-LT-17
55309	53770	0	Lit-BM-LT-17
8409	9079	0	Lit-BM-LT-17
3971	5422	0	Lit-BM-LT-17
71003	100068974	0	Lit-BM-LT-17
70947	4558	0	Lit-BM-LT-17
3267	71767	0	Lit-BM-LT-17
3120	2331	0	Lit-BM-LT-17
2697	53258	NA	Lit-BM-LT-17
4728	53216	0	Lit-BM-LT-17
100009783	9159	0	Lit-BM-LT-17
13160	54080	1	Lit-BM-LT-17
100008839	4956	0	Lit-BM-LT-17
8626	10726	0	Lit-BM-LT-17
8321	2866	0	Lit-BM-LT-17
71767	3267	0	Lit-BM-LT-17
3820	2540	0	Lit-BM-LT-17
71056	3978	0	Lit-BM-LT-17
52967	100009344	0	Lit-BM-LT-17
7442	11806	0	Lit-BM-LT-17
100080796	2405	0	Lit-BM-LT-17
10104	4233	0	Lit-BM-LT-17
8329	13022	0	Lit-BM-LT-17
54316	11222	1	Lit-BM-LT-17
11725	6873	0	Lit-BM-LT-17
71311	42	0	Lit-BM-LT-17
53114	14756	0	Lit-BM-LT-17
7273	5228	0	Lit-BM-LT-17
70107	807	0	Lit-BM-LT-17
490	72167	0	Lit-BM-LT-17
14377	7038	0	Lit-BM-LT-17
4887	6699	0	Lit-BM-LT-17
4543	5228	0	Lit-BM-LT-17
55116	13003	0	Lit-BM-LT-17
8196	413	0	Lit-BM-LT-17
5348	12474	0	Lit-BM-LT-17
5228	4543	0	Lit-BM-LT-17
5118	13158	0	Lit-BM-LT-17
1136	100063969	0	Lit-BM-LT-17
52876	12544	NA	Lit-BM-LT-17
687	8335	0	Lit-BM-LT-17
6982	13917	0	Lit-BM-LT-17
6853	4004	0	Lit-BM-LT-17
14385	2786	0	Lit-BM-LT-17
6158	100011133	NA	Lit-BM-LT-17
4350	7064	0	Lit-BM-LT-17
4094	56074	0	Lit-BM-LT-17
5350	11609	0	Lit-BM-LT-17
7977	10041	0	Lit-BM-LT-17
100069128	100062305	0	Lit-BM-LT-17
53770	634	0	Lit-BM-LT-17
