orf_id_a	orf_id_b	result	source
2403	13442	0.0	Lit-BM-13
2405	100080796	0.0	Lit-BM-LT-17
2413	3469	0.0	Lit-NB-17
2421	4019	0.0	Lit-BS-HT-17
2424	100066431	0.0	Lit-BS-HT-17
2428	13748	0.0	Lit-BS-HT-17
2430	5515	1.0	Lit-BM-LT-17
2434	70513	0.0	Lit-BM-LT-17
2448	100010717	0.0	Lit-BS-LT-17
2453	6873	1.0	Lit-BS-HT-17
2483	7684	0.0	Lit-BM-13
2483	100070227	0.0	Lit-BM-HT-17
2486	3635	0.0	Lit-BM-HT-17
2486	12013	0.0	Lit-BS-HT-17
2503	6984	0.0	Lit-NB-17
2549	53934	0.0	Lit-BM-HT-17
2565	100010135	0.0	Lit-NB-17
2586	11474	0.0	Lit-NB-17
2589	14975	0.0	Lit-BS-HT-17
2595	55296	0.0	Lit-BS-LT-17
2633	7918	0.0	Lit-BM-LT-17
2656	71224	0.0	Lit-NB-17
2666	9751		Lit-BM-HT-17
2666	11826	0.0	Lit-BM-LT-17
2684	71827	0.0	Lit-NB-17
2687	2687	0.0	Lit-BM-LT-17
2697	10876	0.0	Lit-BM-13
2697	53258	0.0	Lit-BM-LT-17
2704	100061732	0.0	Lit-BM-LT-17
2709	11596	0.0	Lit-BS-HT-17
2709	11903	0.0	Lit-BM-13
2709	70529	0.0	Lit-BS-HT-17
2709	100015498	0.0	Lit-BM-HT-17
2709	100061861	1.0	Lit-BM-13
2710	6337	0.0	Lit-NB-17
2714	100080500	0.0	Lit-BM-LT-17
2718	5113	0.0	Lit-BM-LT-17
2738	100070020	0.0	Lit-BM-13
2741	55203	0.0	Lit-BM-HT-17
2747	14878	0.0	Lit-BS-HT-17
2778	3267	0.0	Lit-BM-13
2786	6053	0.0	Lit-BS-LT-17
2786	7587	0.0	Lit-BS-LT-17
2786	14385	0.0	Lit-BM-LT-17
2788	2788	1.0	Lit-BM-LT-17
2812	71567	0.0	Lit-BS-LT-17
2843	2843	0.0	Lit-BS-LT-17
2866	8321	0.0	Lit-BM-LT-17
2870	55203	0.0	Lit-BM-HT-17
2891	12480	0.0	Lit-BS-HT-17
2917	3273		Lit-BM-HT-17
2920	4126	0.0	Lit-BS-HT-17
2931	56157	0.0	Lit-BS-HT-17
2961	14149	0.0	Lit-BS-LT-17
2963	11712	0.0	Lit-BS-HT-17
2966	10125	0.0	Lit-BS-LT-17
2966	100008515	0.0	Lit-BS-LT-17
2978	53934	0.0	Lit-BS-HT-17
2984	52903	0.0	Lit-NB-17
3016	3016	0.0	Lit-BM-LT-17
3024	71264	0.0	Lit-BM-HT-17
3105	56808	0.0	Lit-NB-17
3110	100066557	0.0	Lit-BS-LT-17
3120	5998	0.0	Lit-BM-13
3120	100006572	0.0	Lit-NB-17
3135	5871	0.0	Lit-BS-LT-17
3143	14543	1.0	Lit-BM-HT-17
3152	3192	0.0	Lit-BM-HT-17
3152	3366	0.0	Lit-NB-17
3152	10857	0.0	Lit-BS-LT-17
3154	54157	0.0	Lit-BM-13
3154	71146	0.0	Lit-BM-HT-17
3155	3155	0.0	Lit-NB-17
3167	3908	0.0	Lit-BS-LT-17
3192	100064165	0.0	Lit-BM-13
3202	14994	0.0	Lit-BS-LT-17
3205	12070	0.0	Lit-BS-LT-17
3207	100015984	0.0	Lit-BS-HT-17
3242	6490	0.0	Lit-BS-LT-17
3243	14543	1.0	Lit-BM-HT-17
3250	100069132	0.0	Lit-BM-LT-17
3254	100009791	0.0	Lit-BS-LT-17
3257	11361	0.0	Lit-NB-17
3267	71767	0.0	Lit-BM-LT-17
3295	4072	1.0	Lit-BS-HT-17
3310	13645	0.0	Lit-BM-LT-17
3330	71003	0.0	Lit-BM-13
3336	13735	0.0	Lit-NB-17
3365	100009081	0.0	Lit-BS-HT-17
3380	3681	0.0	Lit-BS-HT-17
3380	4739	0.0	Lit-BM-HT-17
3380	12017	0.0	Lit-BM-HT-17
3390	56582	0.0	Lit-BS-LT-17
3390	100010017	1.0	Lit-NB-17
3411	5923	0.0	Lit-BM-LT-17
3428	6885	1.0	Lit-BM-13
3437	6180	1.0	Lit-BS-HT-17
3456	5158	0.0	Lit-BM-HT-17
3515	71334	0.0	Lit-NB-17
3521	3521	0.0	Lit-BS-LT-17
3528	54258	0.0	Lit-NB-17
3529	9747	0.0	Lit-BM-13
3557	53216		Lit-BS-LT-17
3568	10621	0.0	Lit-BS-LT-17
3571	10737	0.0	Lit-NB-17
3600	14737	0.0	Lit-NB-17
3625	100067498	0.0	Lit-BM-13
3633	70446	0.0	Lit-BM-LT-17
3648	4586	0.0	Lit-BM-LT-17
3657	14880	0.0	Lit-NB-17
3683	7898	0.0	Lit-BS-LT-17
3697	14691	0.0	Lit-BM-LT-17
3700	5516	1.0	Lit-NB-17
3700	5516	1.0	Lit-BM-13
3701	6224	0.0	Lit-BM-LT-17
3707	56141	0.0	Lit-NB-17
3715	10794	0.0	Lit-BM-HT-17
3715	11985	0.0	Lit-BS-HT-17
3722	7443	0.0	Lit-BM-LT-17
3723	71930	0.0	Lit-BM-13
3741	4187	0.0	Lit-BS-LT-17
3741	14543	0.0	Lit-BM-HT-17
3769	14441	0.0	Lit-BS-LT-17
3774	3774	1.0	Lit-BM-13
3782	10632	0.0	Lit-BS-HT-17
3820	100069087	0.0	Lit-BS-LT-17
3852	55205	0.0	Lit-BS-LT-17
3852	100062227	0.0	Lit-BS-HT-17
3858	14287	0.0	Lit-NB-17
3860	55203	0.0	Lit-BM-HT-17
3874	9987	0.0	Lit-BM-LT-17
3874	55203	0.0	Lit-BM-HT-17
3888	55203	0.0	Lit-BM-HT-17
3890	10719		Lit-BM-LT-17
3893	100008379	0.0	Lit-NB-17
3895	8905	0.0	Lit-NB-17
3898	6038	0.0	Lit-BS-HT-17
3902	4761	1.0	Lit-BM-13
3928	9899	0.0	Lit-BM-HT-17
3951	71568	0.0	Lit-BS-LT-17
3952	4262	0.0	Lit-BS-HT-17
3966	53258	0.0	Lit-NB-17
3970	100080388	0.0	Lit-NB-17
3971	5422	0.0	Lit-BM-LT-17
3978	71056	0.0	Lit-BM-LT-17
3990	5025	0.0	Lit-BS-HT-17
3990	5376	0.0	Lit-BS-HT-17
4001	5876	0.0	Lit-BM-HT-17
4004	6835	0.0	Lit-BM-13
4004	6853	0.0	Lit-BM-LT-17
4032	72151	0.0	Lit-BM-LT-17
4044	71557	0.0	Lit-BS-LT-17
4077	4453	0.0	Lit-BS-LT-17
4085	71965	0.0	Lit-BS-HT-17
4094	56074	0.0	Lit-BM-LT-17
4123	13328		Lit-BM-LT-17
4126	4126	0.0	Lit-BM-13
4126	5597	0.0	Lit-BM-13
4144	56067	0.0	Lit-BM-LT-17
4144	100015085	0.0	Lit-BM-HT-17
4160	100068202	0.0	Lit-NB-17
4233	10104	0.0	Lit-BM-LT-17
4251	9283	0.0	Lit-BS-LT-17
4262	5410	0.0	Lit-BM-HT-17
4262	13668	0.0	Lit-BM-HT-17
4262	100010602	1.0	Lit-BM-HT-17
4262	100080187	0.0	Lit-BM-HT-17
4265	11333	0.0	Lit-BM-HT-17
4333	4333	0.0	Lit-BM-HT-17
4340	4340	0.0	Lit-BM-LT-17
4350	7064	1.0	Lit-BM-LT-17
4361	9000	0.0	Lit-BM-13
4366	100070227	0.0	Lit-NB-17
4377	6347	0.0	Lit-NB-17
4384	4595	0.0	Lit-BM-HT-17
4421	4421		Lit-BM-HT-17
4421	53090		Lit-BM-HT-17
4439	80496	0.0	Lit-BS-HT-17
4448	14543	0.0	Lit-BM-HT-17
4452	5200	0.0	Lit-BM-HT-17
4453	12865	0.0	Lit-BM-HT-17
4467	14543	0.0	Lit-BS-HT-17
4489	5638	0.0	Lit-BM-13
4533	5526	0.0	Lit-NB-17
4533	100062247	0.0	Lit-BS-HT-17
4540	71180	0.0	Lit-BS-LT-17
4543	5228	0.0	Lit-BM-LT-17
4543	9722	0.0	Lit-BM-LT-17
4544	6715	0.0	Lit-NB-17
4551	55699	0.0	Lit-BM-HT-17
4554	11484	0.0	Lit-BM-HT-17
4558	70285	0.0	Lit-BS-LT-17
4573	4573	0.0	Lit-BM-13
4586	53934	0.0	Lit-BS-LT-17
4595	5109	0.0	Lit-BM-HT-17
4621	6135	0.0	Lit-NB-17
4632	71997	0.0	Lit-BM-HT-17
4660	6768	1.0	Lit-BM-13
4671	4671	0.0	Lit-BM-LT-17
4683	5998	0.0	Lit-BS-HT-17
4689	5957	0.0	Lit-BM-HT-17
4702	14543	0.0	Lit-BM-HT-17
4711	4711	0.0	Lit-BM-LT-17
4718	10632	0.0	Lit-BM-LT-17
4755	100011512	0.0	Lit-BS-HT-17
4757	4757	0.0	Lit-BM-HT-17
4764	55210	0.0	Lit-BS-LT-17
4808	10420	0.0	Lit-BS-HT-17
4808	14543	0.0	Lit-BM-HT-17
4810	70679	0.0	Lit-NB-17
4852	10165	0.0	Lit-BS-LT-17
4884	53934	0.0	Lit-BS-HT-17
4887	6699	0.0	Lit-BM-LT-17
4892	100066353	0.0	Lit-NB-17
4899	5280	0.0	Lit-BM-13
4960	4960	0.0	Lit-BS-LT-17
4960	72129	0.0	Lit-BS-HT-17
5001	11923	0.0	Lit-BS-HT-17
5001	13246	0.0	Lit-BS-HT-17
5001	71184	0.0	Lit-BM-HT-17
5029	71311	0.0	Lit-BM-13
5059	55203	0.0	Lit-BM-HT-17
5061	100010963	0.0	Lit-BM-HT-17
5066	5219	0.0	Lit-BM-HT-17
5082	100067228	1.0	Lit-BS-LT-17
5093	5673	0.0	Lit-BS-HT-17
5105	8329	0.0	Lit-BS-HT-17
5105	13306		Lit-NB-17
5109	5903	0.0	Lit-NB-17
5109	12245	0.0	Lit-NB-17
5109	100015531	0.0	Lit-BM-HT-17
5135	14543	0.0	Lit-BM-HT-17
5135	14620	0.0	Lit-NB-17
5138	5225	0.0	Lit-NB-17
5140	12403	1.0	Lit-BS-HT-17
5158	14115	0.0	Lit-NB-17
5175	5441	0.0	Lit-BM-HT-17
5181	5181	1.0	Lit-BM-13
5219	55205	0.0	Lit-BM-LT-17
5228	7273	0.0	Lit-BM-LT-17
5244	100008918	0.0	Lit-NB-17
5270	9493	0.0	Lit-BS-HT-17
5274	14891	0.0	Lit-BS-LT-17
5317	11063	0.0	Lit-NB-17
5317	100014538	0.0	Lit-NB-17
5348	10194	0.0	Lit-BM-LT-17
5348	12474	0.0	Lit-BM-LT-17
5348	13962	0.0	Lit-BM-HT-17
5500	10663	0.0	Lit-BS-HT-17
5516	100068271	0.0	Lit-BS-HT-17
5519	5818	0.0	Lit-NB-17
5554	10058	0.0	Lit-NB-17
5627	14514	0.0	Lit-BM-LT-17
5674	70910	1.0	Lit-BM-HT-17
5675	5675	0.0	Lit-BS-HT-17
5767	56356	0.0	Lit-NB-17
5788	100011091	0.0	Lit-NB-17
5823	70204	0.0	Lit-BS-HT-17
5861	14543	0.0	Lit-BM-HT-17
5864	14441	0.0	Lit-BS-LT-17
5874	100080502	0.0	Lit-BS-HT-17
5876	71961	0.0	Lit-BM-LT-17
5897	11079	0.0	Lit-NB-17
5898	100015528	0.0	Lit-BS-LT-17
5912	71645	0.0	Lit-NB-17
5920	100011091	0.0	Lit-NB-17
5930	70857	0.0	Lit-NB-17
5933	100001632	0.0	Lit-BS-HT-17
